Airline,Total,"Cessna 421","Britten-Norman BN-2 Islander","Pilatus PC-12","Beechcraft Super King Air 200","Dassault Falcon 50","Cessna Caravan","Britten-Norman MKIII Trislander","Beechcraft 1900D","Yakovlev Yak-40","Let L-410UVP-E20","Let L-410NG","Bombardier DHC-6-400","Short 330-200","Short 360-200","Bombardier Global 5000","Antonov An-140","Saab 340","Ilyushin Il-114-300","Ilyushin Il-114-100","Embraer EMB120 Brasilia","Cessna Citation X","Dornier 328-110","CASA CN-235","Fokker 50","Embraer ERJ140","Tupolev Tu-134","Yakovlev Yak-42","Bombardier Global 7500","Antonov An148","Fokker 70","ATR 42-600","Embraer ERJ135","Bombardier DHC-8-100","Ilyushin Il-18","Fokker 70ER","Dornier 328JET","Tupolev Tu-154","ATR 72-600","Saab 2000","Comac ARJ21","Sukhoi Superjet 100","Fokker 100","Boeing 717-200","Bombardier DHC-8-200","Boeing 737-100","Embraer ERJ145XR","Embraer ERJ145","Embraer ERJ170","Embraer EMB170-200","Bombardier DHC-8-300","Boeing 727-200","Tupolev Tu-204","Bombardier Q400","Embraer ERJ175","Boeing 737-200","Bombardier CRJ100","Boeing 737-300","Boeing 737-400","Comac C919","Embraer E175-E2","Gulfstream G650ER","Bombardier CRJ200","Boeing 737-500","Bombardier DHC-8-400","BAe 146-200","Ilyushin Il-86","Ilyushin Il-62","Bombardier CRJ900","Lockheed L-1011-1","Airbus A300-600","Bombardier CRJ700","Ilyushin Il-96-300","Embraer EMB190","Airbus A310-200","McDonnell Douglas MD-90","Embraer E190-E2","Boeing 737-900","Boeing 757-300","Ilyushin 96-400","Boeing 767-300","McDonnell Douglas DC-8-50","Boeing 737-700","Bombardier CRJ1000","Boeing 737-600","Irkut MC-21-300","McDonnell Douglas MD-81","McDonnell Douglas DC-10-30","Boeing 737-800","Mitsubishi MRJ-100","Embraer E195-E2","Lockheed L-1011-500","Airbus A321","Boeing 737-700ER","Boeing 737 MAX 8","Airbus A320neo","Boeing 747-100","Mitsubishi MRJ-90","Airbus A310-300","Boeing 747-200","Airbus A319neo","Boeing 737-900ER","Bombardier CS100","Tupolev Tu-144D","McDonnell Douglas MD-11","Boeing 737-700C","Airbus A340-200","Airbus A318","Boeing 767-200ER","Boeing 737 MAX 7","Boeing 757-200","Airbus A321neoXLR","Airbus A319","Airbus A330-200","Airbus A320","Bombardier CS300","Boeing 777-300ER","Boeing 777-300","Boeing 737 MAX 9","Boeing 757-200ER","Airbus A340-600","Boeing 767-400ER","Boeing 747-300","Airbus A340-500","Boeing 747-400ER",Concorde,"Boeing 787-8 Dreamliner","Airbus A340-300","Boeing 767-200","Boeing 737 MAX 10","Airbus A321neoLR","Airbus A321neo","Boeing 747-400","Airbus A330-300","Boeing 787-9 Dreamliner","Boeing 777-200ER","Boeing 777-200LR","Boeing 767-300ER","Airbus A330-800neo","Boeing 787-10 Dreamliner","Boeing 747SP","Airbus A350-900","Airbus A350-900ULR","Boeing 747-8i","Boeing 777-8","Boeing 777-200","Airbus A350-800","Airbus A330-900neo","Boeing 777-9","Airbus A350-1000","Airbus A380-800"
"CSA Czech Airlines",1516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,268,0,0,0,0,0,0,0,0,0,0,15,0,0,0,144,0,0,614,414
"American Airlines",1192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,407,0,0,0,0,0,0,0,0,163,0,0,0,0,0,0,42,447,0,0,133,0,0
"American Chicken",870,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,418,0,0,0,48,0,0,0,0,0,0,0,307,0,0,68,0,0,0,0,0,0,0
"Vulkan Airlines",819,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,179,0
"Cosmic Airways",752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,191,0,0,0
ForeverAir,869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,74,0,0,0,352,0,0,184,0
"eXtreme eXpress chickenZ",591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,0,0,0
"Africa Air Express",343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,4,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,62,0,0,0,161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MayanAir,389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134,0,0,0,0,0,11,53,0,0,0,0,0,0,0,45,13,0,0,0,0,0
AeroExpat,487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,129,0
