Airline,Total,"Cessna 421","Britten-Norman BN-2 Islander","Pilatus PC-12","Beechcraft Super King Air 200","Dassault Falcon 50","Beechcraft 1900D","Cessna Caravan","Britten-Norman MKIII Trislander","Yakovlev Yak-40","Let L-410NG","Let L-410UVP-E20","Short 330-200","Short 360-200","Bombardier Global 5000","Bombardier DHC-6-400","Ilyushin Il-114-100","Ilyushin Il-114-300","Cessna Citation X","Embraer EMB120 Brasilia","Saab 340","Antonov An-140","Dornier 328-110","Antonov An148","Fokker 50","Tupolev Tu-134","Ilyushin Il-18","Yakovlev Yak-42","Bombardier Global 7500","CASA CN-235","Embraer ERJ140","Bombardier DHC-8-100","Fokker 70","Tupolev Tu-154","Dornier 328JET","Embraer ERJ135","ATR 42-600","Tupolev Tu-204","Fokker 70ER","Boeing 737-100","Fokker 100","Bombardier DHC-8-200","Comac ARJ21","Boeing 717-200","Ilyushin Il-62","Embraer ERJ145","ATR 72-600","Saab 2000","Sukhoi Superjet 100","Embraer ERJ145XR","Boeing 737-200","Bombardier DHC-8-300","BAe 146-200","McDonnell Douglas MD-90","Boeing 727-200","Boeing 737-500","Bombardier CRJ100","Embraer ERJ170","Embraer EMB170-200","Boeing 737-400","Gulfstream G650ER","Bombardier CRJ200","Boeing 737-300","Bombardier DHC-8-400","Bombardier Q400","Embraer ERJ175","Embraer E175-E2","Ilyushin Il-86","Ilyushin Il-96-300","Comac C919","McDonnell Douglas DC-8-50","Airbus A300-600","Embraer EMB190","Irkut MC-21-300","Bombardier CRJ700","Boeing 737-900","Bombardier CRJ900","Embraer E190-E2","Lockheed L-1011-1","Ilyushin 96-400","Boeing 757-300","McDonnell Douglas MD-11","Bombardier CRJ1000","Airbus A310-200","Boeing 737-600","McDonnell Douglas DC-10-30","Boeing 737 MAX 8","Airbus A320neo","Embraer E195-E2","Boeing 737-800","McDonnell Douglas MD-81","Boeing 737-700","Airbus A321","Mitsubishi MRJ-100","Airbus A310-300","Airbus A320","Boeing 737-700ER","Boeing 767-300","Boeing 737-900ER","Mitsubishi MRJ-90","Tupolev Tu-144D","Boeing 747-100","Boeing 737 MAX 7","Boeing 747-200","Bombardier CS300","Bombardier CS100","Lockheed L-1011-500","Airbus A319neo","Airbus A321neoXLR","Boeing 737-700C","Boeing 737 MAX 10","Airbus A340-300","Boeing 757-200ER","Airbus A340-600","Airbus A318","Airbus A340-200",Concorde,"Airbus A330-200","Airbus A319","Boeing 757-200","Boeing 737 MAX 9","Boeing 747-300","Airbus A321neoLR","Boeing 777-300ER","Boeing 747-400ER","Boeing 767-400ER","Airbus A330-300","Boeing 767-200ER","Airbus A340-500","Boeing 787-8 Dreamliner","Airbus A321neo","Boeing 767-200","Boeing 787-9 Dreamliner","Boeing 777-300","Airbus A350-900","Boeing 787-10 Dreamliner","Boeing 777-200ER","Airbus A330-800neo","Airbus A350-900ULR","Boeing 777-200LR","Boeing 747-400","Airbus A330-900neo","Boeing 767-300ER","Boeing 777-8","Boeing 747SP","Boeing 747-8i","Boeing 777-200","Airbus A350-800","Airbus A350-1000","Boeing 777-9","Airbus A380-800"
"CSA Czech Airlines",1646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,411,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,150,585,0,373
"American Airlines",1470,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,510,0,51,0,0,0,0,0,0,0,0,270,54,0,0,436,0,0,129,0
"American Pacific",1274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,14,0,0,0,411,0,0,0,0,0,0,0,0,0,0,330,0,165,98,213,0,0,0,0
"Africa Air Express",675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,0,0,0,0,0,0,0,0,44,0,0,66,0,0,0,0,0,0,0,0,0,0,0
ForeverAir,979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,235,0,0,0,0,0,0,0,102,0,0,0,0,0,0,0,0,316,178,0,0
"Vulkan Airlines",953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,424,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,174,0,0,0,0,0,0,131,0,0,0,0,0,0,0,0,0,0,0,0,0
BETAS,501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,264,0,0,0,0,0,0,0,0,0,138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,13,0,0,0,0
Sakura,533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,0,0,0,0,0,0,90,0,0,0,0,0,0,0,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,0,0,0,216,0,0,0,0,0,0
"Semuwa Aviasi Mandiri",707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111,0,0,0,0,0,0,0,0,0,0,314,0,0,48,0,0,0,0,0,0,138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,49,0,0,0,0,0,0,0
AeroKebab,464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,0,0,0,0,0,0,0,0,0,0,248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
