Airline,Total,"Cessna 421","Britten-Norman BN-2 Islander","Pilatus PC-12","Beechcraft Super King Air 200","Dassault Falcon 50","Beechcraft 1900D","Cessna Caravan","Britten-Norman MKIII Trislander","Let L-410NG","Let L-410UVP-E20","Yakovlev Yak-40","Short 330-200","Bombardier Global 5000","Bombardier DHC-6-400","Short 360-200","Antonov An-140","Ilyushin Il-114-100","Saab 340","Ilyushin Il-114-300","Embraer EMB120 Brasilia","Cessna Citation X","Dornier 328-110","CASA CN-235","Ilyushin Il-18","Fokker 50","Antonov An148","Fokker 70","Tupolev Tu-134","Embraer ERJ140","Fokker 70ER","Bombardier DHC-8-100","Bombardier Global 7500","Yakovlev Yak-42","Dornier 328JET","Embraer ERJ135","ATR 42-600","Tupolev Tu-154","ATR 72-600","Comac ARJ21","Tupolev Tu-204","Bombardier DHC-8-200","Embraer ERJ145XR","Fokker 100","Boeing 717-200","Sukhoi Superjet 100","Saab 2000","Boeing 737-100","Embraer ERJ145","Embraer EMB170-200","Bombardier DHC-8-300","Boeing 737-200","BAe 146-200","Embraer ERJ170","Bombardier CRJ100","Comac C919","Boeing 737-400","Embraer ERJ175","Embraer E175-E2","Gulfstream G650ER","Bombardier CRJ200","Bombardier DHC-8-400","Boeing 727-200","Bombardier CRJ900","Ilyushin Il-86","Bombardier Q400","Boeing 737-500","Boeing 737-300","Lockheed L-1011-1","Embraer EMB190","Ilyushin Il-96-300","Irkut MC-21-300","Bombardier CRJ700","Airbus A300-600","Embraer E190-E2","Ilyushin 96-400","Boeing 737-900","Ilyushin Il-62","McDonnell Douglas MD-90","Boeing 757-300","Bombardier CRJ1000","McDonnell Douglas MD-81","Boeing 737-600","McDonnell Douglas DC-10-30","Boeing 737 MAX 8","Boeing 737-800","Embraer E195-E2","McDonnell Douglas DC-8-50","Mitsubishi MRJ-100","Airbus A310-300","McDonnell Douglas MD-11","Boeing 767-300","Airbus A310-200","Boeing 737-700","Airbus A321","Mitsubishi MRJ-90","Boeing 747-100","Bombardier CS100","Airbus A321neoXLR","Boeing 737-900ER","Boeing 737-700C","Boeing 737-700ER","Boeing 747-200","Boeing 747-300","Airbus A318","Airbus A320","Airbus A319neo","Boeing 757-200ER","Airbus A319","Bombardier CS300","Airbus A320neo","Lockheed L-1011-500","Airbus A321neoLR","Boeing 737 MAX 7","Boeing 757-200","Boeing 737 MAX 9","Boeing 767-200ER","Boeing 747-400ER","Airbus A340-600","Airbus A340-200","Boeing 777-300ER","Airbus A340-300","Airbus A340-500","Boeing 787-8 Dreamliner","Airbus A321neo","Airbus A330-300","Boeing 737 MAX 10","Boeing 767-400ER","Boeing 777-200LR","Boeing 777-200ER","Boeing 767-200","Airbus A330-200","Boeing 747-400","Boeing 787-9 Dreamliner","Boeing 777-8","Boeing 777-300","Airbus A350-900","Boeing 787-10 Dreamliner",Concorde,"Boeing 767-300ER","Boeing 747SP","Airbus A330-800neo","Tupolev Tu-144D","Airbus A350-900ULR","Airbus A350-800","Boeing 777-200","Airbus A330-900neo","Boeing 747-8i","Boeing 777-9","Airbus A350-1000","Airbus A380-800"
"CSA Czech Airlines",1809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,149,0,0,0,0,768,466
"American Airlines",1547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,493,0,43,0,60,0,0,0,0,224,12,0,0,0,0,457,0,96,142,0,0
"Vulkan Airlines",1010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,535,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,158,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,158,0,0,0,0,0,0,0,0,0
"American Pacific",1043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,97,0,0,497,0,0,0,0,0,0,0,0,245,130,0,0,0,0,0,0,60,0,0,0
ForeverAir,997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112,259,0,0,0,0,303,0
"European Southern",890,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,12,16,360,0,3,0,0,73,0,0,0,58,343,0,0,0,0,7,0,0,0,0,0
"JL Air",628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,0,0,0,0,256,0
"Cosmic Airways",679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123,0,0,0,0
"Just Go Travel Airways",485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,231,0,0,0,0,0,0,0,0,0
"Wiliams International",559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,0,0,0,0,0,0,0,0,0,84,0,76,0,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,221,0,0,0,0,0,0,46,0,0,0,0,0,0,0
