Airline,Total,"Cessna 421","Britten-Norman BN-2 Islander","Pilatus PC-12","Beechcraft Super King Air 200","Cessna Caravan","Dassault Falcon 50","Let L-410UVP-E20","Beechcraft 1900D","Let L-410NG","Britten-Norman MKIII Trislander","Yakovlev Yak-40","Short 330-200","Short 360-200","Bombardier DHC-6-400","Bombardier Global 5000","Saab 340","Cessna Citation X","Antonov An-140","Ilyushin Il-114-300","Dornier 328-110","Embraer EMB120 Brasilia","Ilyushin Il-114-100","CASA CN-235","Tupolev Tu-134","Fokker 50","Embraer ERJ135","Dornier 328JET","Embraer ERJ140","Antonov An148","Bombardier Global 7500","ATR 72-600","Fokker 70ER","ATR 42-600","Ilyushin Il-18","Yakovlev Yak-42","Bombardier DHC-8-100","Fokker 70","Embraer ERJ145XR","Tupolev Tu-154","Sukhoi Superjet 100","Comac ARJ21","Saab 2000","Tupolev Tu-204","Embraer ERJ145","Fokker 100","Embraer EMB170-200","Boeing 717-200","Bombardier DHC-8-200","Boeing 737-200","Bombardier DHC-8-300","Embraer ERJ170","Embraer ERJ175","BAe 146-200","Boeing 737-100","Bombardier CRJ100","Boeing 727-200","Boeing 737-300","Embraer E175-E2","Gulfstream G650ER","Bombardier CRJ200","Bombardier Q400","Boeing 737-400","Bombardier DHC-8-400","Ilyushin Il-86","Boeing 737-500","Ilyushin Il-96-300","Comac C919","Ilyushin Il-62","Bombardier CRJ900","McDonnell Douglas MD-90","Lockheed L-1011-1","Embraer EMB190","Airbus A300-600","Bombardier CRJ700","Embraer E190-E2","Ilyushin 96-400","Bombardier CRJ1000","Boeing 757-300","Airbus A310-200","McDonnell Douglas MD-81","Boeing 737-900","Boeing 737-900ER","Irkut MC-21-300","Mitsubishi MRJ-100","Boeing 737-600","Embraer E195-E2","McDonnell Douglas DC-10-30","McDonnell Douglas DC-8-50","Boeing 737-700","Boeing 737-800","Boeing 767-300","Mitsubishi MRJ-90","Boeing 737 MAX 8","McDonnell Douglas MD-11","Airbus A321","Boeing 747-100","Airbus A310-300","Airbus A319neo","Boeing 737-700ER","Tupolev Tu-144D","Bombardier CS100","Airbus A320neo","Boeing 747-200","Boeing 737-700C","Airbus A318","Lockheed L-1011-500","Airbus A319","Airbus A321neoXLR","Bombardier CS300","Airbus A320","Boeing 737 MAX 9","Airbus A321neoLR","Boeing 737 MAX 7","Boeing 777-300","Boeing 757-200","Boeing 747-300","Boeing 747-400ER",Concorde,"Airbus A340-300","Airbus A340-500","Boeing 757-200ER","Boeing 767-400ER","Boeing 767-200ER","Boeing 787-8 Dreamliner","Airbus A330-200","Airbus A321neo","Airbus A340-200","Boeing 737 MAX 10","Airbus A340-600","Boeing 767-200","Boeing 777-300ER","Boeing 747-400","Airbus A330-300","Boeing 787-9 Dreamliner","Boeing 777-200LR","Boeing 767-300ER","Boeing 787-10 Dreamliner","Airbus A330-800neo","Airbus A350-900","Boeing 777-200ER","Boeing 747SP","Boeing 747-8i","Airbus A350-900ULR","Airbus A350-800","Boeing 777-200","Airbus A330-900neo","Boeing 777-8","Airbus A350-1000","Boeing 777-9","Airbus A380-800"
"CSA Czech Airlines",1627,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,14,158,0,0,0,669,0,453
"American Airlines",1402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,462,37,0,0,0,0,195,0,0,0,0,0,0,0,0,479,0,49,0,152,0
"Vulkan Airlines",860,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,442,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,161,0,0
"Africa Air Express",505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,7,0,0,0,5,113,0,0,0,0,0,0,0,0,2,0,0,0,0,232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0
"American Chicken",882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,429,0,48,0,0,0,0,0,0,0,0,308,68,0,0,0,0,0,0,0,0
"Cosmic Airways",787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133,0,0,0,0
ForeverAir,947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,340,0,0,0,236,0,0
"eXtreme eXpress chickenZ",643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105,0,0,0,0
"JL Air",598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,266,0,0
"Just Go Travel Airways",447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,246,0,0,0,0,0,0,0,0,0,0,0,0
MayanAir,424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122,0,0,0,0,0,0,59,0,0,0,0,42,0,0,0,0,14,0,30,0,0,0
"American Pacific",657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,14,0,0,0,0,0,0,348,0,0,0,0,0,166,0,0,0,0,22,27,0,0,0,0,0,0,0,0
AeroExpat,487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,129,0,0
BETAS,341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151,0,0,0,0,0,0,0,0,0,0,118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,33,0,0,0
Flyght,335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,163,0,0,0,0
