Airline,Total,"Cessna 421","Britten-Norman BN-2 Islander","Pilatus PC-12","Beechcraft Super King Air 200","Beechcraft 1900D","Dassault Falcon 50","Cessna Caravan","Let L-410UVP-E20","Britten-Norman MKIII Trislander","Let L-410NG","Bombardier Global 5000","Bombardier DHC-6-400","Short 330-200","Bombardier Global 7500","Cessna Citation X","Short 360-200","Saab 340","Embraer EMB120 Brasilia","CASA CN-235","Bombardier DHC-8-100","Dornier 328-110","ATR 42-600","Embraer ERJ140","Embraer ERJ135","Bombardier DHC-8-200","Dornier 328JET","Fokker 50","Antonov An148","Saab 2000","Fokker 70","ATR 72-600","Fokker 70ER","Bombardier DHC-8-300","Embraer ERJ145XR","Embraer ERJ175","Embraer ERJ145","Embraer EMB170-200","Sukhoi Superjet 100","Comac ARJ21","Bombardier CRJ100","Embraer ERJ170","BAe 146-200","Boeing 717-200","Bombardier CRJ200","Bombardier Q400","Embraer E175-E2","Tupolev Tu-154","Fokker 100","Tupolev Tu-204","Gulfstream G650ER","Boeing 737-200","Bombardier DHC-8-400","Boeing 737-100","Embraer EMB190","Boeing 727-200","McDonnell Douglas DC-8-50","Irkut MC-21-300","Boeing 737-500","Embraer E190-E2","Bombardier CRJ700","Boeing 737-400","Bombardier CRJ900","McDonnell Douglas MD-90","Boeing 737-600","Bombardier CRJ1000","Boeing 737-300","Boeing 737-900","Embraer E195-E2","Airbus A300-600","Boeing 737-900ER","Boeing 737-700","Boeing 737-700ER","Boeing 737-800","Mitsubishi MRJ-100","Comac C919","McDonnell Douglas MD-81","McDonnell Douglas MD-11","Mitsubishi MRJ-90","Ilyushin 96-400","Boeing 757-300","Airbus A310-300","Lockheed L-1011-1","Airbus A320","Ilyushin Il-96-300","Airbus A321","Bombardier CS100","Boeing 757-200","Boeing 737-700C","Boeing 737 MAX 8","Lockheed L-1011-500","Boeing 767-300","Boeing 757-200ER","Airbus A318","McDonnell Douglas DC-10-30","Airbus A319neo","Airbus A320neo","Airbus A310-200","Airbus A319","Bombardier CS300","Airbus A321neoLR","Boeing 737 MAX 7","Boeing 767-200ER","Boeing 737 MAX 9","Boeing 787-8 Dreamliner",Concorde,"Airbus A321neoXLR","Tupolev Tu-144D","Boeing 737 MAX 10","Boeing 747-100","Boeing 767-400ER","Airbus A321neo","Boeing 747-200","Airbus A340-200","Boeing 767-200","Airbus A340-300","Airbus A340-600","Airbus A330-300","Boeing 787-9 Dreamliner","Airbus A350-900","Airbus A340-500","Boeing 777-300ER","Boeing 747-400ER","Airbus A330-200","Boeing 767-300ER","Boeing 747-300","Boeing 787-10 Dreamliner","Boeing 777-300","Boeing 747SP","Boeing 777-8","Airbus A330-800neo","Boeing 777-200ER","Boeing 747-400","Boeing 777-200LR","Airbus A350-800","Boeing 777-200","Airbus A330-900neo","Airbus A350-900ULR","Airbus A350-1000","Boeing 777-9","Boeing 747-8i","Airbus A380-800"
"CSA Czech Airlines",1186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,253,0,0,21,546,0,0,151
"Pizza Air",656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,62,0,0,0,0,0,0,0,0,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,212,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,162,0,0,0,0,0,0,0,0,0,0,0,7,0
"American Airlines",1020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,330,0,0,0,0,0,0,0,0,0,226,0,0,0,0,0,0,0,0,18,0,222,0,0,0,0,107,0
"Sky Chariot",759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,331,0,0,0,0,137,0
"Vulkan Airlines",750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,0,0,0,0,0,0,32,0,0,0,0,32,0
"Cosmic Airways",636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,174,0,0,0,0,33
AeroExpat,498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,192,0,0,0
"Air France KLM",505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,0,0,0,0,39
"Chicken Express",399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,18,13,0,101,0,0,0,25,77,0
ForeverAir,603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,205,0,0,28,171,0,0,25
