Airline,Total,"Cessna 421","Britten-Norman BN-2 Islander","Pilatus PC-12","Beechcraft Super King Air 200","Dassault Falcon 50","Cessna Caravan","Beechcraft 1900D","Britten-Norman MKIII Trislander","Let L-410UVP-E20","Let L-410NG","Short 330-200","Bombardier DHC-6-400","Short 360-200","Bombardier Global 5000","Embraer EMB120 Brasilia","Saab 340","Cessna Citation X","Dornier 328-110","CASA CN-235","Fokker 50","Bombardier DHC-8-100","Antonov An148","Embraer ERJ140","Dornier 328JET","Bombardier Global 7500","Fokker 70","Fokker 70ER","ATR 42-600","Embraer ERJ135","Tupolev Tu-154","Bombardier DHC-8-200","Fokker 100","Embraer ERJ145","Saab 2000","Sukhoi Superjet 100","Tupolev Tu-204","Comac ARJ21","Boeing 717-200","Boeing 737-100","ATR 72-600","Embraer ERJ145XR","Embraer ERJ175","Bombardier DHC-8-300","Bombardier Q400","Embraer ERJ170","Embraer EMB170-200","Boeing 737-200","Boeing 727-200","Bombardier CRJ100","Boeing 737-400","BAe 146-200","Comac C919","Gulfstream G650ER","Bombardier CRJ200","Boeing 737-300","Bombardier DHC-8-400","Bombardier CRJ900","Boeing 737-500","Embraer E175-E2","Ilyushin Il-96-300","Embraer EMB190","McDonnell Douglas MD-81","Lockheed L-1011-1","Bombardier CRJ700","McDonnell Douglas MD-90","Airbus A300-600","Bombardier CRJ1000","Embraer E190-E2","Ilyushin 96-400","McDonnell Douglas DC-8-50","Boeing 737-900","Irkut MC-21-300","Boeing 737-800","Boeing 737-600","Boeing 757-300","Lockheed L-1011-500","McDonnell Douglas DC-10-30","Embraer E195-E2","Boeing 737-700ER","Airbus A320neo","Boeing 767-300","Mitsubishi MRJ-100","Boeing 737 MAX 8","Airbus A310-300","Airbus A310-200","Boeing 737-700","Boeing 737-900ER","Boeing 747-100","Mitsubishi MRJ-90","McDonnell Douglas MD-11","Boeing 747-200","Bombardier CS100","Tupolev Tu-144D","Airbus A321",Concorde,"Boeing 757-200","Boeing 737-700C","Airbus A319neo","Airbus A321neoLR","Boeing 757-200ER","Airbus A318","Airbus A320","Boeing 767-400ER","Airbus A319","Bombardier CS300","Boeing 747-300","Boeing 747-400ER","Boeing 737 MAX 7","Airbus A321neoXLR","Airbus A340-300","Airbus A340-200","Airbus A340-600","Airbus A340-500","Boeing 737 MAX 9","Boeing 767-200ER","Boeing 787-8 Dreamliner","Airbus A330-200","Boeing 777-300","Boeing 767-200","Boeing 737 MAX 10","Airbus A321neo","Boeing 777-300ER","Boeing 777-200ER","Boeing 747-400","Boeing 787-9 Dreamliner","Boeing 777-200LR","Airbus A330-300","Airbus A330-800neo","Boeing 767-300ER","Boeing 787-10 Dreamliner","Airbus A350-900","Boeing 747SP","Airbus A350-900ULR","Boeing 747-8i","Boeing 777-200","Airbus A350-800","Boeing 777-8","Airbus A330-900neo","Airbus A350-1000","Boeing 777-9","Airbus A380-800"
"CSA Czech Airlines",1531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,302,0,0,0,0,0,0,0,0,0,0,0,14,0,0,162,0,0,665,0,388
"Vulkan Airlines",780,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,198,0,0
"American Airlines",953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,328,0,0,0,0,0,0,30,0,0,116,0,0,0,0,0,303,0,0,0,0,176,0
"Cosmic Airways",666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,227,0,0,0
"Air France KLM",730,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,489,0,0,94
"American Chicken",771,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,407,0,0,0,0,37,0,0,0,0,0,0,0,252,0,58,0,0,0,0,0,0,0
"Simson Air",439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0
"Biliam Air",535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,265,0,0,0
"eXtreme eXpress chickenZ",574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102,0,0,0
"To The Sky Airline",736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,546,0,0,0
