Airline,Total,"Cessna 421","Britten-Norman BN-2 Islander","Pilatus PC-12","Dassault Falcon 50","Beechcraft Super King Air 200","Beechcraft 1900D","Cessna Caravan","Let L-410UVP-E20","Britten-Norman MKIII Trislander","Let L-410NG","Yakovlev Yak-40","Short 330-200","Short 360-200","Bombardier Global 5000","Bombardier DHC-6-400","Antonov An-140","Saab 340","Ilyushin Il-114-100","Ilyushin Il-114-300","Cessna Citation X","Embraer EMB120 Brasilia","Dornier 328-110","Antonov An148","Tupolev Tu-134","Ilyushin Il-18","Yakovlev Yak-42","Embraer ERJ140","CASA CN-235","Bombardier Global 7500","Fokker 70","Tupolev Tu-154","Fokker 50","Fokker 70ER","ATR 42-600","ATR 72-600","Embraer ERJ135","Tupolev Tu-204","Dornier 328JET","Fokker 100","Bombardier DHC-8-100","Sukhoi Superjet 100","Bombardier DHC-8-200","Comac ARJ21","Boeing 717-200","Embraer ERJ145XR","Boeing 737-100","Saab 2000","Embraer ERJ145","Embraer ERJ175","Bombardier DHC-8-300","Boeing 737-200","Boeing 737-300","Ilyushin Il-62","Embraer EMB170-200","Boeing 727-200","Bombardier CRJ100","Boeing 737-500","Embraer ERJ170","Boeing 737-400","Gulfstream G650ER","Bombardier CRJ200","Bombardier Q400","Embraer E175-E2","Comac C919","Bombardier DHC-8-400","Ilyushin Il-86","Bombardier CRJ900","BAe 146-200","McDonnell Douglas MD-90","Airbus A300-600","Ilyushin Il-96-300","Lockheed L-1011-1","Irkut MC-21-300","Embraer EMB190","Boeing 737-900","McDonnell Douglas DC-8-50","Bombardier CRJ700","Embraer E190-E2","McDonnell Douglas MD-81","Ilyushin 96-400","McDonnell Douglas MD-11","Boeing 757-300","Bombardier CRJ1000","Airbus A321","McDonnell Douglas DC-10-30","Boeing 737-600","Lockheed L-1011-500","Airbus A320neo","Airbus A310-300","Airbus A310-200","Boeing 767-300","Boeing 737-700","Boeing 737-800","Embraer E195-E2","Airbus A319neo","Boeing 737 MAX 8","Boeing 737-900ER","Mitsubishi MRJ-100","Boeing 737-700ER","Airbus A321neoXLR","Mitsubishi MRJ-90","Tupolev Tu-144D","Boeing 747-100","Bombardier CS300","Boeing 757-200","Bombardier CS100","Airbus A320","Boeing 747-200","Boeing 757-200ER","Boeing 737-700C","Boeing 737 MAX 9","Boeing 737 MAX 7","Airbus A340-300","Airbus A340-600","Airbus A318","Airbus A321neoLR","Boeing 767-400ER","Airbus A319","Airbus A340-200","Airbus A350-900","Airbus A340-500","Airbus A330-200","Boeing 737 MAX 10","Boeing 777-300ER","Boeing 747-400ER","Boeing 767-200ER","Airbus A330-300","Boeing 787-8 Dreamliner","Airbus A321neo","Boeing 747-300","Boeing 767-200","Boeing 787-9 Dreamliner","Boeing 777-200LR","Boeing 777-200ER","Boeing 747-400","Boeing 787-10 Dreamliner","Boeing 777-8","Boeing 777-300",Concorde,"Boeing 767-300ER","Airbus A350-900ULR","Airbus A330-800neo","Airbus A330-900neo","Boeing 747SP","Airbus A350-800","Boeing 777-200","Boeing 747-8i","Airbus A350-1000","Boeing 777-9","Airbus A380-800"
"CSA Czech Airlines",1754,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,382,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,178,0,0,704,0,446
"American Airlines",1499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,478,0,0,0,0,0,59,67,0,252,0,0,0,0,0,478,0,0,151,0
"European Southern",1052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,427,0,0,0,53,0,0,0,0,101,0,0,0,429,0,0,0,0,0,0
"American Pacific",1280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,14,0,0,0,0,412,0,0,0,5,0,0,0,0,330,0,0,0,145,0,226,105,0,0,0
ForeverAir,981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,98,0,0,10,0,0,0,0,0,0,0,0,0,0,236,0,0,0,0,0,0,0,0,0,0,0,102,0,0,0,303,0,0,192,0,0
"Vulkan Airlines",969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,158,0,0,0,0,0,0,0,428,0,0,0,0,0,0,0,0,0,0,0,37,0,210,0,0,0,0,0,0,0,0,0,0,0,0,136,0,0,0,0,0,0,0,0
"Africa Air Express",481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,26,23,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cosmic Airways",749,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,449,0,0,0,0,0,0,0,0,0,0,0,28,0,150,0,0,0,0,0,0,0,0,0,0,0,0,0,85,0,0,0,0,0,0,0
"JL Air",598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104,0,0,130,0,0
BETAS,433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133,0,0,0,0,208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,13,0,0,0,0
