Airline,Total,"Cessna 421","Britten-Norman BN-2 Islander","Beechcraft Super King Air 200","Pilatus PC-12","Dassault Falcon 50","Cessna Caravan","Beechcraft 1900D","Britten-Norman MKIII Trislander","Let L-410UVP-E20","Let L-410NG","Bombardier DHC-6-400","Bombardier Global 5000","Short 360-200","Short 330-200","Saab 340","Embraer EMB120 Brasilia","Cessna Citation X","Dornier 328-110","CASA CN-235","Embraer ERJ140","Bombardier DHC-8-100","Fokker 50","Antonov An148","Dornier 328JET","Bombardier Global 7500","Fokker 70ER","Fokker 70","Embraer ERJ135","ATR 42-600","Bombardier DHC-8-200","Saab 2000","Tupolev Tu-154","Sukhoi Superjet 100","Embraer ERJ145","Comac ARJ21","Fokker 100","Bombardier Q400","Tupolev Tu-204","Embraer ERJ145XR","Boeing 717-200","Boeing 737-100","ATR 72-600","Bombardier CRJ100","Embraer ERJ170","Embraer ERJ175","Bombardier DHC-8-300","Boeing 737-200","Boeing 727-200","Embraer EMB170-200","BAe 146-200","Boeing 737-400","Gulfstream G650ER","Bombardier CRJ200","Boeing 737-300","Bombardier DHC-8-400","Bombardier CRJ900","Embraer E175-E2","Boeing 737-500","McDonnell Douglas MD-90","Ilyushin Il-96-300","Embraer EMB190","McDonnell Douglas MD-81","Lockheed L-1011-1","Comac C919","Bombardier CRJ700","Airbus A300-600","Bombardier CRJ1000","Boeing 757-300","Embraer E190-E2","Ilyushin 96-400","McDonnell Douglas DC-8-50","Irkut MC-21-300","Boeing 737-900","Lockheed L-1011-500","Boeing 737-700ER","Mitsubishi MRJ-100","McDonnell Douglas DC-10-30","Boeing 737-600","Embraer E195-E2","Airbus A320neo","Boeing 737-900ER","Boeing 737-800","Boeing 767-300","Airbus A310-200","Airbus A310-300","Boeing 737-700","Boeing 737 MAX 8","Boeing 747-100",Concorde,"Mitsubishi MRJ-90","Boeing 757-200","McDonnell Douglas MD-11","Boeing 747-200","Airbus A321","Bombardier CS100","Tupolev Tu-144D","Boeing 747-300","Boeing 737-700C","Airbus A319neo","Boeing 757-200ER","Airbus A320","Airbus A318","Airbus A319","Airbus A340-300","Bombardier CS300","Airbus A321neoLR","Boeing 737 MAX 9","Boeing 737 MAX 7","Airbus A340-600","Boeing 747-400ER","Boeing 767-400ER","Boeing 767-200ER","Airbus A340-200","Airbus A321neoXLR","Airbus A340-500","Airbus A330-200","Boeing 787-8 Dreamliner","Boeing 777-300","Boeing 747-400","Boeing 737 MAX 10","Airbus A321neo","Boeing 767-200","Boeing 777-200ER","Boeing 777-300ER","Boeing 787-9 Dreamliner","Airbus A330-300","Boeing 777-200LR","Airbus A330-800neo","Boeing 767-300ER","Boeing 787-10 Dreamliner","Boeing 747SP","Airbus A350-900","Airbus A350-900ULR","Boeing 777-200","Boeing 777-8","Airbus A350-800","Airbus A330-900neo","Boeing 747-8i","Airbus A350-1000","Boeing 777-9","Airbus A380-800"
"CSA Czech Airlines",1487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,272,0,0,0,0,0,0,0,0,0,0,0,14,0,0,168,0,0,658,0,375
"Vulkan Airlines",780,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,336,0,0,0,0,0,0,0,0,0,175,0,0,0,0,0,0,30,0,0,0
"Cosmic Airways",641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,220,0,0,0,0
"American Airlines",861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,249,0,0,0,0,34,0,121,0,0,0,0,296,0,0,0,0,0,161,0
"Air France KLM",720,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,479,0,0,0,92
"American Chicken",748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,415,0,0,0,0,0,0,0,0,252,0,0,0,0,0,0,69,0,0,0
"Simson Air",423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0
"eXtreme eXpress chickenZ",568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102,0,0,0,0
"To The Sky Airline",731,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,538,0,0,0,0
"Biliam Air",480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,244,0,0,0,0
