Airline,Total,"Cessna 421","Britten-Norman BN-2 Islander","Pilatus PC-12","Beechcraft Super King Air 200","Dassault Falcon 50","Cessna Caravan","Beechcraft 1900D","Britten-Norman MKIII Trislander","Let L-410NG","Let L-410UVP-E20","Bombardier Global 5000","Bombardier DHC-6-400","Short 330-200","Short 360-200","Saab 340","Cessna Citation X","Embraer EMB120 Brasilia","Dornier 328-110","Bombardier Global 7500","Bombardier DHC-8-100","CASA CN-235","Fokker 50","Dornier 328JET","Fokker 70","Embraer ERJ140","Fokker 70ER","Antonov An148","ATR 42-600","Embraer ERJ135","ATR 72-600","Tupolev Tu-154","Bombardier DHC-8-200","Embraer ERJ145XR","Comac ARJ21","Bombardier DHC-8-300","Saab 2000","Sukhoi Superjet 100","Boeing 717-200","Tupolev Tu-204","Embraer EMB170-200","BAe 146-200","Embraer ERJ145","Embraer ERJ175","Boeing 737-200","Fokker 100","Bombardier Q400","Embraer ERJ170","Bombardier CRJ100","Boeing 737-300","Boeing 737-100","Boeing 727-200","Gulfstream G650ER","Boeing 737-500","Embraer E175-E2","Boeing 737-400","Bombardier CRJ200","Bombardier DHC-8-400","McDonnell Douglas MD-90","McDonnell Douglas MD-81","Ilyushin Il-96-300","Bombardier CRJ900","Bombardier CRJ700","Boeing 737-900","McDonnell Douglas DC-8-50","Boeing 737-600","Embraer EMB190","Airbus A300-600","Lockheed L-1011-1","Irkut MC-21-300","Embraer E190-E2","Boeing 737-700","Bombardier CRJ1000","Airbus A320","Ilyushin 96-400","Boeing 767-300","Comac C919","Boeing 737-700ER","Boeing 737-800","Airbus A310-300","Airbus A310-200","Mitsubishi MRJ-100","Boeing 757-300","Lockheed L-1011-500","McDonnell Douglas DC-10-30","Embraer E195-E2","Airbus A320neo","McDonnell Douglas MD-11","Boeing 737 MAX 8","Boeing 737-700C","Mitsubishi MRJ-90","Tupolev Tu-144D","Boeing 747-100","Airbus A321neoXLR","Boeing 757-200ER","Airbus A319neo","Boeing 737-900ER","Bombardier CS100","Airbus A321","Airbus A318","Airbus A340-300","Airbus A340-200","Boeing 747-200","Boeing 747-300","Boeing 757-200","Airbus A319","Boeing 767-400ER","Boeing 767-200ER","Bombardier CS300","Airbus A340-600","Boeing 737 MAX 7","Boeing 747-400ER","Airbus A330-200","Airbus A321neoLR","Airbus A340-500","Airbus A330-300","Boeing 747-400","Airbus A321neo","Boeing 737 MAX 9","Boeing 787-8 Dreamliner","Boeing 737 MAX 10","Boeing 777-300","Boeing 777-200ER","Boeing 767-200","Airbus A350-900",Concorde,"Boeing 777-300ER","Boeing 777-200LR","Airbus A350-900ULR","Boeing 787-9 Dreamliner","Boeing 767-300ER","Boeing 787-10 Dreamliner","Boeing 747SP","Airbus A330-800neo","Airbus A350-800","Boeing 777-200","Boeing 777-8","Airbus A330-900neo","Airbus A350-1000","Boeing 747-8i","Airbus A380-800","Boeing 777-9"
"CSA Czech Airlines",1419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,248,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,219,0,0,0,633,0,303,0
"SA Sky",552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,198,0,0,0,0,0,0,0,0,0,0,0,0,0,172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109,0,0,0,73,0,0,0,0
"Sky Chariot",835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,271,0,0,0,0,0,0,0,0,0,0,0,407,0,0,0,0,0,150
"Vulkan Airlines",755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147,0,0,0,0,0,0,34,0,0
"American Airlines",960,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,371,0,0,0,34,0,0,210,0,0,0,0,207,0,0,0,0,0,138
"Air France KLM",631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,402,0,0,80,0
"Cosmic Airways",658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,243,0,0,0,0
ForeverAir,758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,187,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,368,0,0,0,144,0,0,0
AeroExpat,560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,214,0,0,0
"Biliam Air",381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,178,0,0,0,0
