Airline,Total,"Cessna 421","Britten-Norman BN-2 Islander","Pilatus PC-12","Beechcraft Super King Air 200","Cessna Caravan","Dassault Falcon 50","Beechcraft 1900D","Let L-410UVP-E20","Let L-410NG","Britten-Norman MKIII Trislander","Yakovlev Yak-40","Bombardier Global 5000","Short 330-200","Bombardier DHC-6-400","Short 360-200","Saab 340","Embraer EMB120 Brasilia","Ilyushin Il-114-100","Antonov An-140","Cessna Citation X","Dornier 328-110","Ilyushin Il-114-300","CASA CN-235","Embraer ERJ140","Antonov An148","Tupolev Tu-134","Bombardier Global 7500","ATR 42-600","Embraer ERJ135","Bombardier DHC-8-100","Ilyushin Il-18","Yakovlev Yak-42","Fokker 70","Tupolev Tu-154","ATR 72-600","Saab 2000","Dornier 328JET","Comac ARJ21","Fokker 50","Fokker 70ER","Tupolev Tu-204","Embraer ERJ145XR","Boeing 717-200","Bombardier DHC-8-200","Boeing 737-100","Sukhoi Superjet 100","Embraer ERJ145","Boeing 737-200","Fokker 100","Bombardier DHC-8-300","Embraer ERJ170","Embraer ERJ175","Embraer EMB170-200","Boeing 737-300","Boeing 727-200","Bombardier CRJ100","Embraer E175-E2","Boeing 737-500","Gulfstream G650ER","Bombardier CRJ200","BAe 146-200","Bombardier DHC-8-400","Boeing 737-400","Ilyushin Il-86","Bombardier Q400","Bombardier CRJ900","Embraer EMB190","Ilyushin Il-62","McDonnell Douglas MD-90","Lockheed L-1011-1","Ilyushin Il-96-300","Bombardier CRJ700","Airbus A300-600","Embraer E190-E2","Ilyushin 96-400","McDonnell Douglas DC-8-50","Comac C919","McDonnell Douglas MD-81","Irkut MC-21-300","Boeing 737-900","Bombardier CRJ1000","McDonnell Douglas MD-11","Boeing 757-300","Airbus A310-200","McDonnell Douglas DC-10-30","Boeing 737-600","Embraer E195-E2","Boeing 767-300","Mitsubishi MRJ-100","Boeing 737-900ER","Airbus A310-300","Boeing 737-700","Boeing 737-800","Boeing 737 MAX 8","Mitsubishi MRJ-90","Tupolev Tu-144D","Boeing 747-200","Airbus A321","Boeing 747-100","Bombardier CS100","Boeing 737-700C","Airbus A319neo","Airbus A320neo","Boeing 737-700ER","Airbus A318","Boeing 757-200ER","Airbus A319","Lockheed L-1011-500","Bombardier CS300","Airbus A321neoXLR","Airbus A320","Boeing 737 MAX 9","Boeing 737 MAX 7","Boeing 767-200ER","Boeing 757-200","Boeing 747-300","Boeing 747-400ER","Boeing 767-400ER","Airbus A321neoLR","Boeing 787-8 Dreamliner","Airbus A330-200","Airbus A321neo","Airbus A340-200","Boeing 737 MAX 10","Airbus A340-600","Boeing 767-200","Airbus A340-300","Boeing 777-300ER","Airbus A340-500","Boeing 777-300","Boeing 747-400","Boeing 787-9 Dreamliner",Concorde,"Airbus A330-300","Boeing 777-200ER","Boeing 787-10 Dreamliner","Airbus A330-800neo","Boeing 767-300ER","Airbus A350-900","Boeing 777-200LR","Boeing 747SP","Airbus A350-900ULR","Boeing 747-8i","Airbus A350-800","Boeing 777-200","Boeing 777-8","Airbus A330-900neo","Airbus A350-1000","Boeing 777-9","Airbus A380-800"
"CSA Czech Airlines",1690,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,14,0,142,0,0,0,721,0,436
"American Airlines",1413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,467,0,30,0,0,0,0,0,0,0,0,0,199,0,0,0,0,0,0,481,42,0,0,162,0
"Vulkan Airlines",878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,546,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,143,0,0
"Cosmic Airways",826,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130,0,0,0
ForeverAir,963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,0,304,0,0,0,271,0,0
"Africa Air Express",515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,49,0,5,110,0,0,0,0,0,0,0,243,0,0,7,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0
"American Chicken",864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,421,0,0,0,0,48,0,0,0,0,0,0,0,0,0,298,0,68,0,0,0,0,0,0,0
"American Pacific",800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,76,0,0,0,0,0,0,0,442,0,0,0,0,0,0,0,0,0,0,0,195,0,0,39,0,34,0,0,0,0,0,0,0
"eXtreme eXpress chickenZ",640,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,0,0,0
"JL Air",582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,259,0,0
