Airline,Total,"Cessna 421","Britten-Norman BN-2 Islander","Pilatus PC-12","Beechcraft Super King Air 200","Dassault Falcon 50","Cessna Caravan","Beechcraft 1900D","Let L-410UVP-E20","Britten-Norman MKIII Trislander","Yakovlev Yak-40","Let L-410NG","Bombardier DHC-6-400","Short 330-200","Short 360-200","Bombardier Global 5000","Antonov An-140","Ilyushin Il-114-100","Cessna Citation X","Saab 340","Ilyushin Il-114-300","Dornier 328-110","Embraer EMB120 Brasilia","Fokker 50","CASA CN-235","Antonov An148","Tupolev Tu-134","Embraer ERJ135","Yakovlev Yak-42","Ilyushin Il-18","Embraer ERJ140","Dornier 328JET","Fokker 70ER","Fokker 70","Bombardier DHC-8-100","Bombardier Global 7500","ATR 42-600","Tupolev Tu-154","Comac ARJ21","Tupolev Tu-204","Bombardier DHC-8-200","Fokker 100","Boeing 737-100","ATR 72-600","Embraer ERJ145XR","Embraer ERJ145","Saab 2000","Sukhoi Superjet 100","Boeing 717-200","Bombardier CRJ100","Embraer ERJ175","Bombardier Q400","Bombardier DHC-8-300","Embraer ERJ170","Boeing 737-200","Embraer EMB170-200","Ilyushin Il-62","Boeing 727-200","Boeing 737-500","Boeing 737-400","BAe 146-200","Gulfstream G650ER","Bombardier CRJ200","Bombardier CRJ900","Bombardier DHC-8-400","Embraer E175-E2","Ilyushin Il-86","Boeing 737-300","Ilyushin Il-96-300","Comac C919","Bombardier CRJ700","Embraer E190-E2","Lockheed L-1011-1","Embraer EMB190","McDonnell Douglas MD-90","Airbus A300-600","Bombardier CRJ1000","Ilyushin 96-400","Boeing 757-300","Boeing 737-800","Boeing 737-900","Boeing 737-600","McDonnell Douglas DC-10-30","McDonnell Douglas DC-8-50","Boeing 737-700","McDonnell Douglas MD-81","Irkut MC-21-300","Boeing 737 MAX 8","Lockheed L-1011-500","Boeing 737-700ER","Embraer E195-E2","Airbus A310-300","Airbus A310-200","Boeing 767-300","Mitsubishi MRJ-100","Airbus A320neo","Boeing 737-900ER","McDonnell Douglas MD-11","Boeing 747-100","Mitsubishi MRJ-90","Boeing 757-200ER","Bombardier CS100","Airbus A321","Airbus A319neo","Boeing 757-200","Boeing 767-200ER","Tupolev Tu-144D","Boeing 737-700C","Airbus A320","Airbus A318","Airbus A319","Airbus A321neoLR","Bombardier CS300","Boeing 737 MAX 7","Airbus A321neoXLR","Boeing 747-400ER","Airbus A340-200","Boeing 747-200","Boeing 747-300","Boeing 767-400ER","Airbus A340-500","Boeing 737 MAX 9","Boeing 787-8 Dreamliner","Airbus A340-600","Airbus A340-300",Concorde,"Boeing 777-300ER","Boeing 767-200","Boeing 737 MAX 10","Airbus A330-200","Airbus A321neo","Boeing 777-300","Boeing 777-200ER","Boeing 747-400","Boeing 787-9 Dreamliner","Airbus A330-300","Boeing 767-300ER","Airbus A330-800neo","Boeing 787-10 Dreamliner","Boeing 777-200LR","Airbus A350-900","Boeing 747SP","Airbus A350-900ULR","Boeing 777-200","Airbus A350-800","Airbus A330-900neo","Boeing 777-8","Boeing 747-8i","Airbus A350-1000","Boeing 777-9","Airbus A380-800"
"CSA Czech Airlines",1438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,265,0,0,0,0,0,0,0,0,0,0,0,14,0,132,0,0,0,605,0,422
"Vulkan Airlines",847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,194,0,0
"American Airlines",1007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,334,0,0,0,0,0,0,0,0,117,0,0,0,0,0,0,393,0,0,35,0,0,128,0
"American Chicken",800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,396,0,0,0,0,0,47,0,0,0,0,0,0,0,262,0,0,0,0,0,66,0,0,0
"Air France KLM",740,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,491,0,0,0,0,92
"Cosmic Airways",656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,203,0,0,0,0,0
"Simson Air",472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,0,0,0,0,0,0,0,0
"Biliam Air",584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,276,0,0,0,0,0
"Jerry Airlines",617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,143,0,0,0,0,0,0,53,0,0,0,0,0,0,0,397,0,0,0,0,24
"eXtreme eXpress chickenZ",593,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104,0,0,0,0,0
