Airline,Total,"Cessna 421","Britten-Norman BN-2 Islander","Pilatus PC-12","Beechcraft Super King Air 200","Dassault Falcon 50","Cessna Caravan","Beechcraft 1900D","Let L-410UVP-E20","Let L-410NG","Britten-Norman MKIII Trislander","Yakovlev Yak-40","Short 330-200","Bombardier DHC-6-400","Short 360-200","Bombardier Global 5000","Cessna Citation X","Saab 340","Ilyushin Il-114-100","Dornier 328-110","Embraer EMB120 Brasilia","Antonov An-140","Ilyushin Il-114-300","Antonov An148","Tupolev Tu-134","CASA CN-235","Embraer ERJ140","Bombardier DHC-8-100","Dornier 328JET","Embraer ERJ135","Bombardier Global 7500","Yakovlev Yak-42","ATR 42-600","Ilyushin Il-18","Fokker 70","Comac ARJ21","Tupolev Tu-154","Fokker 70ER","ATR 72-600","Tupolev Tu-204","Sukhoi Superjet 100","Bombardier DHC-8-200","Fokker 50","Boeing 717-200","Embraer ERJ145","Saab 2000","Boeing 737-100","Embraer ERJ145XR","Boeing 737-200","Bombardier DHC-8-300","Embraer EMB170-200","Embraer ERJ175","Fokker 100","Embraer ERJ170","Boeing 737-300","Boeing 727-200","Bombardier CRJ100","Embraer E175-E2","BAe 146-200","Gulfstream G650ER","Bombardier CRJ200","Bombardier DHC-8-400","Boeing 737-500","Ilyushin Il-86","Boeing 737-400","Bombardier Q400","Bombardier CRJ900","Embraer EMB190","Ilyushin Il-62","Airbus A300-600","Ilyushin Il-96-300","Lockheed L-1011-1","Bombardier CRJ700","McDonnell Douglas MD-90","Comac C919","McDonnell Douglas DC-8-50","Embraer E190-E2","McDonnell Douglas MD-81","Bombardier CRJ1000","Ilyushin 96-400","Boeing 757-300","Airbus A310-200","Irkut MC-21-300","Boeing 737-800","Boeing 737-600","Airbus A310-300","McDonnell Douglas MD-11","McDonnell Douglas DC-10-30","Boeing 737-900","Mitsubishi MRJ-100","Embraer E195-E2","Boeing 767-300","Airbus A320","Airbus A321","Boeing 737-700","Boeing 737-900ER","Mitsubishi MRJ-90","Boeing 737 MAX 8","Boeing 747-200","Boeing 747-100","Bombardier CS100","Tupolev Tu-144D","Boeing 737-700C","Boeing 737-700ER","Airbus A321neoLR","Airbus A319neo","Airbus A320neo","Airbus A318","Boeing 737 MAX 7","Airbus A319","Airbus A321neoXLR","Boeing 767-200ER","Bombardier CS300","Boeing 757-200ER","Airbus A340-200","Boeing 737 MAX 9","Boeing 747-400ER","Airbus A340-600","Lockheed L-1011-500","Boeing 757-200","Boeing 767-400ER","Boeing 747-300","Airbus A330-200","Boeing 787-8 Dreamliner","Airbus A321neo","Boeing 737 MAX 10","Boeing 767-200","Airbus A340-300","Boeing 777-300ER","Airbus A340-500","Airbus A330-300","Boeing 747-400","Boeing 777-300","Boeing 787-9 Dreamliner","Boeing 777-200LR","Airbus A330-800neo","Boeing 777-200ER","Boeing 787-10 Dreamliner",Concorde,"Airbus A350-900","Airbus A350-900ULR","Boeing 767-300ER","Boeing 747SP","Boeing 747-8i","Airbus A350-800","Boeing 777-200","Airbus A330-900neo","Boeing 777-8","Airbus A350-1000","Boeing 777-9","Airbus A380-800"
"CSA Czech Airlines",1718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,14,0,0,0,142,0,0,0,741,0,444
"American Airlines",1429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,465,0,28,0,0,0,0,0,0,0,0,0,0,0,0,191,0,0,0,492,0,60,0,159,0
"Vulkan Airlines",894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,569,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,143,0,0
ForeverAir,995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,0,0,0,292,0,0,0,295,0,0
"American Chicken",864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,421,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,298,68,0,0,0,0,0,0,0
"Cosmic Airways",753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106,0,0,0,0
"American Pacific",802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,76,0,0,0,0,0,444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,195,39,34,0,0,0,0,0,0,0
"eXtreme eXpress chickenZ",639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,0,0,0,0
"Simson Air",324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,18,56,0,0,0,0,0,0,200,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0
"JL Air",598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,259,0,0
