Airline,Total,"Cessna 421","Britten-Norman BN-2 Islander","Pilatus PC-12","Beechcraft Super King Air 200","Cessna Caravan","Beechcraft 1900D","Dassault Falcon 50","Britten-Norman MKIII Trislander","Let L-410UVP-E20","Let L-410NG","Bombardier DHC-6-400","Bombardier Global 5000","Short 330-200","Cessna Citation X","Short 360-200","Saab 340","Embraer EMB120 Brasilia","CASA CN-235","Dornier 328-110","Bombardier Global 7500","Embraer ERJ140","ATR 42-600","Bombardier DHC-8-100","Embraer ERJ135","Fokker 50","Dornier 328JET","Bombardier DHC-8-200","Antonov An148","ATR 72-600","Saab 2000","Fokker 70","Fokker 70ER","Bombardier DHC-8-300","Embraer ERJ145XR","Embraer ERJ145","Sukhoi Superjet 100","Comac ARJ21","Embraer EMB170-200","Bombardier CRJ100","Embraer ERJ175","Embraer ERJ170","Fokker 100","Embraer E175-E2","Tupolev Tu-204","Tupolev Tu-154","Boeing 717-200","Gulfstream G650ER","Bombardier CRJ200","Bombardier Q400","Bombardier DHC-8-400","BAe 146-200","Boeing 737-200","Boeing 737-100","Embraer EMB190","Boeing 727-200","Bombardier CRJ900","Boeing 737-400","Embraer E190-E2","Bombardier CRJ700","Boeing 737-500","Irkut MC-21-300","Boeing 737-300","McDonnell Douglas MD-90","Bombardier CRJ1000","Boeing 737-600","Boeing 737-900","Embraer E195-E2","Mitsubishi MRJ-100","Airbus A300-600","McDonnell Douglas DC-8-50","Boeing 737-800","Comac C919","Boeing 737-700ER","Boeing 737-900ER","Lockheed L-1011-1","Mitsubishi MRJ-90","McDonnell Douglas MD-81","Ilyushin 96-400","Airbus A320","Boeing 737-700","McDonnell Douglas MD-11","Bombardier CS100","Boeing 757-300","Boeing 737-700C","Airbus A310-300","Airbus A320neo","Lockheed L-1011-500","Airbus A318","Airbus A310-200","Ilyushin Il-96-300","Boeing 737 MAX 8","McDonnell Douglas DC-10-30","Boeing 757-200ER","Airbus A319","Boeing 757-200","Bombardier CS300","Boeing 737 MAX 7","Airbus A319neo","Airbus A321","Boeing 767-300","Airbus A321neoLR","Boeing 737 MAX 9","Airbus A321neoXLR","Boeing 787-8 Dreamliner","Tupolev Tu-144D","Boeing 747-100","Boeing 737 MAX 10",Concorde,"Airbus A340-200","Airbus A321neo","Boeing 767-200ER","Boeing 767-400ER","Boeing 767-200","Boeing 747-200","Airbus A340-600","Airbus A340-300","Boeing 747-300","Boeing 787-9 Dreamliner","Airbus A340-500","Boeing 747-400ER","Airbus A330-200","Boeing 747-400","Boeing 777-300","Airbus A330-300","Boeing 767-300ER","Boeing 787-10 Dreamliner","Boeing 777-300ER","Boeing 747SP","Airbus A330-800neo","Airbus A350-800","Airbus A350-900","Boeing 777-200LR","Boeing 777-200","Airbus A330-900neo","Boeing 777-200ER","Airbus A350-900ULR","Boeing 777-8","Airbus A350-1000","Boeing 747-8i","Airbus A380-800","Boeing 777-9"
"CSA Czech Airlines",1339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,270,0,0,0,0,0,21,0,584,0,224,0
"Sky Chariot",817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,381,0,7,0,0,0,0,0,149
"Vulkan Airlines",778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160,0,0,0,0,0,0,0,0,0,0,34,0,0
"American Airlines",981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,342,0,0,0,0,0,0,0,0,0,0,0,212,0,0,0,0,0,0,13,214,0,0,0,0,0,0,0,103
"Cosmic Airways",629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0,242,0,0,0,0,0,0,0
ForeverAir,726,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,0,0,0,0,0,0,0,0,0,137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,256,0,0,0,0,0,28,0,229,0,0,0
AeroExpat,579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,247,0,0,0
"SA Sky",419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102,0,0,0,0,0,0,0,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Air France KLM",542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,339,0,0,0,0,0,47,0
"WestPac Airlines",453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,219,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,102,0,0,0,0,0,0,0,0,0,0,0,0,0,120,0,0
