Airline,Total,"Cessna 421","Pilatus PC-12","Britten-Norman BN-2 Islander","Beechcraft Super King Air 200","Cessna Caravan","Dassault Falcon 50","Beechcraft 1900D","Let L-410UVP-E20","Britten-Norman MKIII Trislander","Yakovlev Yak-40","Bombardier DHC-6-400","Let L-410NG","Short 330-200","Short 360-200","Saab 340","Bombardier Global 5000","Antonov An-140","Cessna Citation X","Ilyushin Il-114-300","Dornier 328-110","Ilyushin Il-114-100","Embraer EMB120 Brasilia","Fokker 50","CASA CN-235","Bombardier Global 7500","Tupolev Tu-134","Antonov An148","Embraer ERJ140","Yakovlev Yak-42","Dornier 328JET","ATR 42-600","Fokker 70","Embraer ERJ135","Fokker 70ER","Bombardier DHC-8-100","Ilyushin Il-18","Tupolev Tu-154","Embraer ERJ145","Comac ARJ21","ATR 72-600","Sukhoi Superjet 100","Boeing 717-200","Bombardier DHC-8-200","Embraer ERJ145XR","Fokker 100","Saab 2000","Tupolev Tu-204","Boeing 737-100","Embraer EMB170-200","Bombardier DHC-8-300","Bombardier Q400","Embraer ERJ175","Embraer ERJ170","Boeing 727-200","Ilyushin Il-62","Bombardier CRJ100","Boeing 737-400","Embraer E175-E2","BAe 146-200","Boeing 737-200","Boeing 737-500","Gulfstream G650ER","Bombardier CRJ200","Bombardier DHC-8-400","Ilyushin Il-86","Boeing 737-300","Comac C919","Bombardier CRJ900","Ilyushin Il-96-300","Embraer EMB190","Lockheed L-1011-1","Boeing 737-900","Bombardier CRJ700","Embraer E190-E2","Ilyushin 96-400","Boeing 757-300","McDonnell Douglas MD-90","Boeing 737-600","Bombardier CRJ1000","McDonnell Douglas DC-8-50","Irkut MC-21-300","McDonnell Douglas DC-10-30","McDonnell Douglas MD-81","Boeing 737-700ER","Boeing 737-700","Boeing 767-300","Boeing 737-900ER","Boeing 737-800","Embraer E195-E2","Airbus A300-600","Airbus A310-200","Mitsubishi MRJ-100","Lockheed L-1011-500","Boeing 737 MAX 8","Airbus A310-300","Boeing 747-100","Boeing 747-200","McDonnell Douglas MD-11","Mitsubishi MRJ-90","Boeing 757-200ER","Bombardier CS100","Airbus A320neo","Airbus A320","Airbus A321","Tupolev Tu-144D","Boeing 737-700C","Boeing 757-200","Airbus A318","Airbus A319","Airbus A319neo","Bombardier CS300","Boeing 737 MAX 7","Boeing 747-400ER","Airbus A340-500","Airbus A340-200","Airbus A321neoXLR",Concorde,"Boeing 767-200ER","Boeing 747-300","Boeing 767-400ER","Boeing 737 MAX 9","Boeing 777-300","Boeing 777-300ER","Boeing 787-8 Dreamliner","Airbus A340-600","Airbus A321neoLR","Boeing 767-200","Boeing 737 MAX 10","Airbus A330-200","Airbus A340-300","Airbus A321neo","Airbus A330-300","Boeing 777-200ER","Boeing 747-400","Boeing 787-9 Dreamliner","Boeing 777-200LR","Airbus A330-800neo","Boeing 767-300ER","Airbus A350-900","Boeing 787-10 Dreamliner","Boeing 747SP","Airbus A350-900ULR","Boeing 747-8i","Boeing 777-8","Boeing 777-200","Airbus A350-800","Airbus A330-900neo","Boeing 777-9","Airbus A350-1000","Airbus A380-800"
"CSA Czech Airlines",1445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,253,0,0,0,0,0,0,0,0,0,0,16,0,0,0,120,0,0,598,425
"American Airlines",1076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,348,0,0,0,0,0,0,0,0,0,0,123,0,0,0,0,0,42,448,0,0,115,0,0
"Vulkan Airlines",841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,179,0
"American Chicken",845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,402,0,0,0,0,0,0,48,0,0,0,0,0,0,298,0,68,0,0,0,0,0,0,0
"Air France KLM",748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,457,0,0,87
"Air Nigeria",572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0
"Cosmic Airways",705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,188,0,0,0
"Biliam Air",579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,277,0,0,0
ForeverAir,868,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,74,0,0,0,352,0,0,184,0
"eXtreme eXpress chickenZ",597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104,0,0,0
