Airline,Total,"Cessna 421","Britten-Norman BN-2 Islander","Beechcraft Super King Air 200","Pilatus PC-12","Dassault Falcon 50","Let L-410UVP-E20","Cessna Caravan","Beechcraft 1900D","Britten-Norman MKIII Trislander","Let L-410NG","Yakovlev Yak-40","Short 330-200","Short 360-200","Bombardier Global 5000","Bombardier DHC-6-400","Antonov An-140","Saab 340","Ilyushin Il-114-100","Ilyushin Il-114-300","Dornier 328-110","Cessna Citation X","Embraer EMB120 Brasilia","Antonov An148","Yakovlev Yak-42","Bombardier Global 7500","Ilyushin Il-18","Tupolev Tu-134","Fokker 70","CASA CN-235","Embraer ERJ140","Fokker 70ER","Bombardier DHC-8-100","Fokker 50","Tupolev Tu-154","Embraer ERJ135","Sukhoi Superjet 100","Dornier 328JET","ATR 42-600","Comac ARJ21","ATR 72-600","Saab 2000","Tupolev Tu-204","Boeing 737-100","Embraer ERJ145XR","Fokker 100","Bombardier DHC-8-200","Boeing 717-200","Embraer ERJ145","Bombardier DHC-8-300","Embraer ERJ170","BAe 146-200","Embraer EMB170-200","Boeing 737-200","Boeing 727-200","Bombardier CRJ100","Embraer ERJ175","Boeing 737-400","Gulfstream G650ER","Bombardier CRJ200","Ilyushin Il-62","Bombardier DHC-8-400","Ilyushin Il-86","Boeing 737-500","Bombardier Q400","Embraer E175-E2","Comac C919","Ilyushin Il-96-300","Airbus A300-600","Boeing 737-300","Embraer EMB190","Lockheed L-1011-1","Bombardier CRJ900","Bombardier CRJ700","Embraer E190-E2","Ilyushin 96-400","McDonnell Douglas MD-90","Bombardier CRJ1000","Boeing 737-900","McDonnell Douglas DC-10-30","McDonnell Douglas DC-8-50","Boeing 757-300","Embraer E195-E2","Lockheed L-1011-500","McDonnell Douglas MD-11","Boeing 737-600","Irkut MC-21-300","McDonnell Douglas MD-81","Mitsubishi MRJ-100","Boeing 737 MAX 8","Boeing 737-700","Airbus A310-200","Mitsubishi MRJ-90","Boeing 747-100","Boeing 737-800","Airbus A310-300","Boeing 747-200","Boeing 767-300","Bombardier CS100","Tupolev Tu-144D","Boeing 737-700C","Boeing 737-700ER","Airbus A318","Boeing 747-300","Airbus A321neoXLR","Airbus A319","Bombardier CS300","Boeing 757-200","Boeing 757-200ER","Airbus A340-600","Airbus A319neo","Airbus A320","Boeing 737-900ER","Boeing 777-300","Airbus A320neo","Airbus A340-500","Airbus A340-200","Boeing 737 MAX 7","Airbus A340-300","Boeing 747-400ER","Airbus A321","Boeing 777-300ER","Boeing 737 MAX 9","Airbus A321neoLR","Boeing 787-8 Dreamliner","Boeing 767-400ER","Airbus A321neo","Boeing 767-200ER","Boeing 737 MAX 10","Airbus A330-200","Boeing 767-200","Airbus A330-300","Boeing 787-9 Dreamliner","Boeing 777-200LR","Airbus A350-900","Boeing 777-200ER",Concorde,"Boeing 767-300ER","Boeing 777-8","Boeing 787-10 Dreamliner","Boeing 747SP","Airbus A330-800neo","Airbus A350-900ULR","Boeing 747-400","Airbus A350-800","Boeing 777-200","Airbus A330-900neo","Airbus A350-1000","Boeing 747-8i","Boeing 777-9","Airbus A380-800"
"CSA Czech Airlines",1779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,163,0,0,765,0,0,467
"American Airlines",1575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,481,0,0,0,0,0,0,242,60,0,0,0,0,73,0,450,0,0,96,149,0
"American Pacific",1185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,14,0,0,497,0,0,0,0,0,0,290,0,0,129,0,0,0,0,120,0,0,84,0,0
ForeverAir,933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102,0,269,0,0,230,0,0,0
"Vulkan Airlines",950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,435,0,0,0,0,0,0,0,0,123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,202,0,0,0,0,50,0,0,0,0,0,0,0,0,0,140,0,0,0,0,0,0,0,0,0
"European Southern",949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,377,0,0,0,0,0,0,89,0,0,397,0,0,43,0,0,0,0,0,0,0
"JL Air",664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,141,0,0,182,0,0,0
"Cosmic Airways",716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,175,0,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,0,0,0,0
"Wiliams International",528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,0,0,0,0,0,0,0,75,0,0,0,83,0,0,0,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,190,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0
BETAS,399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180,0,0,0,0,0,0,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,13,0,0,0,0,0
