Airline,Total,"Cessna 421","Britten-Norman BN-2 Islander","Beechcraft Super King Air 200","Pilatus PC-12","Dassault Falcon 50","Let L-410UVP-E20","Beechcraft 1900D","Cessna Caravan","Let L-410NG","Britten-Norman MKIII Trislander","Yakovlev Yak-40","Short 330-200","Bombardier Global 5000","Short 360-200","Bombardier DHC-6-400","Antonov An-140","Ilyushin Il-114-100","Saab 340","Ilyushin Il-114-300","Dornier 328-110","Cessna Citation X","Embraer EMB120 Brasilia","Antonov An148","Yakovlev Yak-42","Bombardier Global 7500","Tupolev Tu-134","Ilyushin Il-18","Fokker 70","CASA CN-235","Fokker 50","Embraer ERJ140","Sukhoi Superjet 100","Fokker 70ER","Bombardier DHC-8-100","Tupolev Tu-154","Embraer ERJ135","Dornier 328JET","ATR 42-600","Comac ARJ21","Saab 2000","Tupolev Tu-204","ATR 72-600","Boeing 737-100","Bombardier DHC-8-200","Fokker 100","Embraer ERJ145XR","Boeing 717-200","Embraer ERJ145","Bombardier DHC-8-300","Ilyushin Il-62","Embraer ERJ170","BAe 146-200","Embraer EMB170-200","Boeing 727-200","Bombardier CRJ100","Boeing 737-200","Embraer ERJ175","Gulfstream G650ER","Bombardier CRJ200","Comac C919","Bombardier DHC-8-400","Ilyushin Il-86","Boeing 737-400","Bombardier Q400","Boeing 737-500","Embraer E175-E2","Ilyushin Il-96-300","Airbus A300-600","McDonnell Douglas MD-90","Boeing 737-300","Lockheed L-1011-1","Embraer EMB190","Boeing 737-900","McDonnell Douglas DC-8-50","Bombardier CRJ700","Bombardier CRJ900","Irkut MC-21-300","Embraer E190-E2","Ilyushin 96-400","McDonnell Douglas MD-11","Boeing 757-300","Bombardier CRJ1000","Boeing 737 MAX 8","Lockheed L-1011-500","Boeing 737-800","Airbus A310-200","McDonnell Douglas DC-10-30","Airbus A310-300","Embraer E195-E2","Boeing 767-300","Bombardier CS300","Boeing 737-900ER","Boeing 737-600","Airbus A320","McDonnell Douglas MD-81","Airbus A321neoXLR","Mitsubishi MRJ-100","Airbus A320neo","Airbus A321","Boeing 757-200","Airbus A319neo","Boeing 757-200ER","Boeing 737-700","Mitsubishi MRJ-90","Boeing 747-100","Boeing 747-200","Bombardier CS100","Boeing 737 MAX 9","Airbus A340-200","Airbus A321neoLR","Boeing 737-700C","Boeing 737-700ER","Airbus A318","Boeing 767-200ER","Airbus A340-300","Tupolev Tu-144D","Boeing 747-300","Airbus A319","Airbus A340-600","Airbus A340-500","Boeing 737 MAX 10","Boeing 777-300","Boeing 737 MAX 7","Boeing 767-400ER","Boeing 747-400ER","Boeing 777-300ER","Airbus A330-200","Boeing 787-9 Dreamliner","Airbus A330-300","Boeing 787-8 Dreamliner","Airbus A321neo","Boeing 767-200","Boeing 777-200ER","Boeing 777-200LR","Airbus A350-900","Boeing 787-10 Dreamliner","Boeing 777-8","Airbus A330-800neo","Boeing 767-300ER","Airbus A350-900ULR",Concorde,"Airbus A330-900neo","Boeing 747-400","Boeing 747SP","Airbus A350-800","Boeing 777-200","Airbus A350-1000","Boeing 777-9","Boeing 747-8i","Airbus A380-800"
"CSA Czech Airlines",1779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,333,0,0,0,0,0,0,0,0,14,0,0,0,0,163,0,765,0,0,467
"American Airlines",1575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,481,0,0,0,0,60,0,242,0,0,0,73,0,0,450,0,149,96,0
"American Pacific",1190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0,497,0,0,0,0,0,0,290,0,0,0,0,129,0,125,0,0,84,0
"Vulkan Airlines",950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,202,0,0,0,0,0,0,140,0,0,0,0,0,0,0,0,0,0,0,0
ForeverAir,933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,245,0,0,0,0,0,0,0,0,102,0,0,0,0,269,0,230,0,0,0
"European Southern",953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,381,0,0,0,0,0,0,89,0,0,0,43,397,0,0,0,0,0,0
"JL Air",656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,277,0,0,0,0,0,0,0,0,0,0,0,0,0,134,0,180,0,0,0
"Cosmic Airways",717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,0,175,0,0,0,0,0,0,0,0,0,0,95,0,0,0,0,0,0,0,0
BETAS,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,0,0,0,0,0,0,0,0,0,0,181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,13,0,0,0,0
"Wiliams International",535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,68,0,75,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0
