Airline,Total,"Cessna 421","Britten-Norman BN-2 Islander","Pilatus PC-12","Beechcraft Super King Air 200","Dassault Falcon 50","Cessna Caravan","Beechcraft 1900D","Let L-410UVP-E20","Yakovlev Yak-40","Let L-410NG","Britten-Norman MKIII Trislander","Short 330-200","Short 360-200","Bombardier DHC-6-400","Bombardier Global 5000","Saab 340","Antonov An-140","Cessna Citation X","Ilyushin Il-114-300","Ilyushin Il-114-100","Embraer EMB120 Brasilia","Dornier 328-110","CASA CN-235","Tupolev Tu-134","Embraer ERJ135","Yakovlev Yak-42","Embraer ERJ140","Antonov An148","Fokker 50","Fokker 70","Bombardier Global 7500","Fokker 70ER","Ilyushin Il-18","ATR 42-600","Dornier 328JET","Bombardier DHC-8-100","Tupolev Tu-154","ATR 72-600","Comac ARJ21","Sukhoi Superjet 100","Tupolev Tu-204","Embraer ERJ145","Boeing 737-100","Embraer ERJ145XR","Boeing 717-200","Bombardier DHC-8-200","Fokker 100","Saab 2000","Embraer EMB170-200","Bombardier CRJ100","Bombardier DHC-8-300","Boeing 727-200","Embraer ERJ175","Embraer ERJ170","Boeing 737-200","Comac C919","Boeing 737-300","Bombardier Q400","Gulfstream G650ER","Bombardier CRJ200","BAe 146-200","Embraer E175-E2","Bombardier DHC-8-400","Boeing 737-400","Ilyushin Il-86","Boeing 737-500","Bombardier CRJ900","Ilyushin Il-62","McDonnell Douglas MD-90","Ilyushin Il-96-300","Bombardier CRJ700","Lockheed L-1011-1","Embraer EMB190","Embraer E190-E2","Airbus A300-600","Boeing 737-900","Ilyushin 96-400","Airbus A310-200","Bombardier CRJ1000","Boeing 767-300","McDonnell Douglas DC-8-50","Boeing 737-700","Boeing 757-300","Irkut MC-21-300","McDonnell Douglas MD-81","Boeing 737-800","Embraer E195-E2","Boeing 737-600","Mitsubishi MRJ-100","McDonnell Douglas DC-10-30","Mitsubishi MRJ-90","Lockheed L-1011-500","Boeing 737 MAX 8","Boeing 747-100","Boeing 737-900ER","Tupolev Tu-144D","Airbus A321","Boeing 747-200","McDonnell Douglas MD-11","Airbus A310-300","Bombardier CS100","Airbus A320neo","Airbus A319neo","Boeing 737-700ER","Boeing 737-700C","Boeing 737 MAX 7","Airbus A318","Boeing 767-200ER","Airbus A319","Bombardier CS300","Airbus A320","Airbus A321neoXLR","Boeing 757-200","Boeing 777-300","Airbus A340-600","Boeing 737 MAX 9","Airbus A340-500","Airbus A340-200","Boeing 747-400ER","Boeing 777-300ER","Boeing 757-200ER","Boeing 767-400ER","Airbus A340-300","Boeing 747-300","Airbus A330-200","Airbus A321neoLR","Boeing 787-8 Dreamliner","Boeing 767-200",Concorde,"Boeing 737 MAX 10","Airbus A321neo","Boeing 747-400","Boeing 787-9 Dreamliner","Airbus A330-300","Boeing 767-300ER","Airbus A330-800neo","Boeing 787-10 Dreamliner","Boeing 777-200ER","Boeing 777-200LR","Boeing 747SP","Airbus A350-900","Boeing 747-8i","Airbus A350-900ULR","Boeing 777-8","Boeing 777-200","Airbus A350-800","Airbus A330-900neo","Airbus A350-1000","Boeing 777-9","Airbus A380-800"
"CSA Czech Airlines",1606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,271,0,0,0,0,0,0,0,0,0,0,0,14,0,0,152,0,655,0,438
"American Airlines",1270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,433,0,0,0,0,0,0,177,0,0,0,0,0,0,0,0,50,459,0,0,0,151,0
"Vulkan Airlines",852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,174,0,0
"American Chicken",883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,429,0,0,0,48,0,0,0,0,0,0,0,309,0,68,0,0,0,0,0,0,0,0
"Cosmic Airways",769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,390,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,170,0,0,0
"Africa Air Express",455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,91,0,4,0,0,0,0,0,0,79,0,0,0,0,0,0,0,0,2,202,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,19,0,0,0,0,0,0,0,0,0,0,0
ForeverAir,908,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,205,0,0,0,0,0,0,0,0,0,0,0,74,0,0,353,0,204,0,0
"eXtreme eXpress chickenZ",608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103,0,0,0
MayanAir,415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129,0,0,0,0,0,0,0,16,63,0,0,0,0,48,18,0,0,0,0,0
AeroExpat,487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,129,0,0
