Airline,Total,"Cessna 421","Britten-Norman BN-2 Islander","Beechcraft Super King Air 200","Dassault Falcon 50","Pilatus PC-12","Cessna Caravan","Beechcraft 1900D","Let L-410NG","Let L-410UVP-E20","Britten-Norman MKIII Trislander","Yakovlev Yak-40","Short 330-200","Short 360-200","Bombardier Global 5000","Bombardier DHC-6-400","Antonov An-140","Saab 340","Ilyushin Il-114-100","Ilyushin Il-114-300","Cessna Citation X","Dornier 328-110","Embraer EMB120 Brasilia","Antonov An148","Bombardier Global 7500","Ilyushin Il-18","Yakovlev Yak-42","Tupolev Tu-134","Fokker 70","Fokker 50","Embraer ERJ140","Fokker 70ER","Bombardier DHC-8-100","Sukhoi Superjet 100","CASA CN-235","Tupolev Tu-154","Dornier 328JET","Embraer ERJ135","Comac ARJ21","Tupolev Tu-204","Saab 2000","ATR 42-600","ATR 72-600","Boeing 737-100","Bombardier DHC-8-200","Fokker 100","Embraer ERJ145XR","Boeing 717-200","Embraer ERJ145","Bombardier DHC-8-300","Ilyushin Il-62","BAe 146-200","Embraer ERJ170","Boeing 727-200","Embraer EMB170-200","Bombardier CRJ100","Embraer ERJ175","Boeing 737-200","Gulfstream G650ER","Bombardier CRJ200","Comac C919","Bombardier DHC-8-400","Boeing 737-500","Boeing 737-400","Ilyushin Il-86","Bombardier Q400","Embraer E175-E2","Ilyushin Il-96-300","McDonnell Douglas MD-90","Airbus A300-600","Lockheed L-1011-1","Boeing 737-300","Embraer EMB190","Bombardier CRJ900","Bombardier CRJ700","Boeing 737-900","McDonnell Douglas DC-8-50","Irkut MC-21-300","Embraer E190-E2","Ilyushin 96-400","Boeing 757-300","McDonnell Douglas MD-11","Bombardier CRJ1000","Boeing 737-800","Boeing 737 MAX 8","Lockheed L-1011-500","Airbus A310-200","McDonnell Douglas DC-10-30","Boeing 737-900ER","Embraer E195-E2","Bombardier CS300","Airbus A310-300","Airbus A321","Boeing 767-300","McDonnell Douglas MD-81","Boeing 737-600","Boeing 737-700","Airbus A321neoXLR","Airbus A320","Mitsubishi MRJ-100","Airbus A320neo","Airbus A319neo","Boeing 757-200ER","Boeing 757-200","Mitsubishi MRJ-90","Airbus A340-200","Tupolev Tu-144D","Boeing 747-100","Airbus A321neoLR","Boeing 747-200","Boeing 737 MAX 9","Bombardier CS100","Boeing 737-700C","Boeing 737-700ER","Airbus A318","Boeing 767-200ER","Boeing 747-300","Airbus A340-300","Airbus A319","Airbus A340-600","Airbus A340-500","Boeing 767-400ER","Boeing 737 MAX 10","Boeing 777-300ER","Boeing 737 MAX 7","Boeing 777-300","Boeing 747-400ER","Airbus A330-200","Airbus A330-300","Boeing 787-8 Dreamliner","Boeing 787-9 Dreamliner","Airbus A321neo","Boeing 767-200","Boeing 777-200ER","Boeing 777-200LR","Airbus A350-900","Boeing 787-10 Dreamliner","Airbus A330-800neo","Boeing 767-300ER","Boeing 777-8","Airbus A350-900ULR",Concorde,"Airbus A330-900neo","Boeing 747SP","Boeing 747-400","Airbus A350-800","Boeing 777-200","Airbus A350-1000","Boeing 777-9","Boeing 747-8i","Airbus A380-800"
"CSA Czech Airlines",1779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,333,0,0,0,0,0,0,0,0,14,0,0,0,0,165,0,763,0,0,467
"American Airlines",1581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,481,0,0,0,0,0,242,60,0,0,0,0,73,0,450,0,149,102,0
"American Pacific",1241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,497,0,0,0,0,0,300,0,0,0,0,129,0,0,145,0,0,105,0
"Vulkan Airlines",947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,435,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,215,0,0,0,0,0,135,0,0,0,0,0,0,0,0,0,0,0,0,0
ForeverAir,936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,244,0,0,0,0,0,0,0,0,102,0,0,0,0,278,0,225,0,0,0
"European Southern",964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,386,0,0,0,0,0,89,0,0,0,0,393,53,0,0,0,0,0,0
"JL Air",645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,282,0,0,0,0,0,0,0,0,0,0,0,0,0,127,0,170,0,0,0
"Cosmic Airways",718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,388,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,180,0,0,0,0,0,0,0,0,0,0,99,0,0,0,0,0,0,0,0
"Wiliams International",541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,0,0,0,0,0,0,0,71,76,0,0,0,0,0,0,0,0,0,0,0,0,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,191,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0
Flyght,514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,249,0,0,0,0,0,0,0,0,0,0,222,0,0,0,0,0,0,0,0
