Airline,Total,"Cessna 421","Britten-Norman BN-2 Islander","Pilatus PC-12","Dassault Falcon 50","Beechcraft 1900D","Beechcraft Super King Air 200","Cessna Caravan","Let L-410UVP-E20","Britten-Norman MKIII Trislander","Let L-410NG","Yakovlev Yak-40","Short 330-200","Short 360-200","Bombardier Global 5000","Bombardier DHC-6-400","Antonov An-140","Ilyushin Il-114-100","Ilyushin Il-114-300","Cessna Citation X","Saab 340","Dornier 328-110","Embraer EMB120 Brasilia","CASA CN-235","Ilyushin Il-18","Antonov An148","Yakovlev Yak-42","Fokker 70ER","Tupolev Tu-134","Embraer ERJ140","Fokker 50","Bombardier DHC-8-100","Fokker 70","Bombardier Global 7500","ATR 42-600","Tupolev Tu-154","Dornier 328JET","Comac ARJ21","Embraer ERJ135","ATR 72-600","Tupolev Tu-204","Sukhoi Superjet 100","Fokker 100","Bombardier DHC-8-200","Embraer ERJ145XR","Saab 2000","Boeing 717-200","Boeing 737-100","Embraer ERJ145","Bombardier DHC-8-300","Boeing 737-200","Embraer EMB170-200","Embraer ERJ170","BAe 146-200","Bombardier CRJ100","Embraer ERJ175","Boeing 737-400","Gulfstream G650ER","Bombardier CRJ200","Bombardier DHC-8-400","Comac C919","Boeing 727-200","Ilyushin Il-86","Embraer E175-E2","Boeing 737-500","Bombardier Q400","Ilyushin Il-62","Boeing 737-300","Bombardier CRJ900","Airbus A300-600","Embraer EMB190","Ilyushin Il-96-300","Bombardier CRJ700","McDonnell Douglas MD-90","Lockheed L-1011-1","Embraer E190-E2","Ilyushin 96-400","Boeing 737-900","Bombardier CRJ1000","Boeing 757-300","McDonnell Douglas DC-10-30","McDonnell Douglas DC-8-50","Boeing 737-600","McDonnell Douglas MD-11","Irkut MC-21-300","Embraer E195-E2","Boeing 737 MAX 8","McDonnell Douglas MD-81","Boeing 737-800","Airbus A310-300","Mitsubishi MRJ-100","Boeing 737-700","Airbus A310-200","Mitsubishi MRJ-90","Boeing 747-100","Airbus A321neoXLR","Bombardier CS100","Boeing 737-700C","Boeing 747-200","Boeing 757-200","Boeing 737-700ER","Boeing 767-300","Airbus A318","Boeing 747-300","Boeing 757-200ER","Lockheed L-1011-500","Airbus A320neo","Airbus A319","Airbus A320","Airbus A340-300","Boeing 737-900ER","Bombardier CS300","Airbus A321","Airbus A340-600","Airbus A319neo","Airbus A340-500","Airbus A340-200","Boeing 737 MAX 7","Boeing 767-200ER","Boeing 777-300","Boeing 747-400ER","Airbus A321neoLR","Boeing 737 MAX 9","Boeing 777-300ER","Tupolev Tu-144D","Boeing 787-8 Dreamliner","Boeing 777-200ER","Airbus A321neo","Boeing 737 MAX 10","Boeing 777-200LR","Airbus A330-200","Boeing 767-400ER","Airbus A330-300","Boeing 767-200","Boeing 787-9 Dreamliner","Airbus A350-900","Boeing 777-8","Boeing 787-10 Dreamliner","Boeing 747-400",Concorde,"Boeing 767-300ER","Boeing 747SP","Airbus A330-800neo","Airbus A350-900ULR","Airbus A350-800","Boeing 777-200","Airbus A330-900neo","Boeing 747-8i","Boeing 777-9","Airbus A350-1000","Airbus A380-800"
"CSA Czech Airlines",1796,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,155,0,0,0,0,783,469
"American Airlines",1564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,491,0,0,60,0,58,0,238,0,0,0,0,457,0,96,144,0,0
"Vulkan Airlines",948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,428,0,0,0,0,0,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,173,0,0,0,0,69,0,0,0,0,0,0,0,0,0,158,0,0,0,0,0,0,0,0
ForeverAir,943,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102,268,0,0,0,0,238,0
"American Pacific",1115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,97,0,497,0,0,0,0,0,0,275,142,0,0,0,30,0,60,0,0,0
"European Southern",882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,342,0,0,0,0,43,0,75,379,0,0,0,0,0,0,0,0,0
"JL Air",603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,0,0,0,0,176,0
"Cosmic Airways",671,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,159,0,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,94,0,0,0,0
BETAS,396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,177,0,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,13,0,0,0,0,0
"Just Go Travel Airways",512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,237,0,0,0,0,0,0,0,0
"Wiliams International",500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,0,0,0,71,0,0,0,0,0,63,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,178,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0
