Airline,Total,"Cessna 421","Britten-Norman BN-2 Islander","Pilatus PC-12","Dassault Falcon 50","Beechcraft Super King Air 200","Beechcraft 1900D","Cessna Caravan","Let L-410UVP-E20","Yakovlev Yak-40","Britten-Norman MKIII Trislander","Let L-410NG","Bombardier DHC-6-400","Short 330-200","Short 360-200","Bombardier Global 5000","Saab 340","Antonov An-140","Ilyushin Il-114-300","Embraer EMB120 Brasilia","Ilyushin Il-114-100","Dornier 328-110","Cessna Citation X","CASA CN-235","Tupolev Tu-134","Antonov An148","Yakovlev Yak-42","Bombardier Global 7500","Fokker 70","Embraer ERJ140","Fokker 50","Embraer ERJ135","ATR 42-600","Fokker 70ER","Ilyushin Il-18","Dornier 328JET","Bombardier DHC-8-100","Tupolev Tu-154","Embraer ERJ145XR","Sukhoi Superjet 100","Comac ARJ21","ATR 72-600","Fokker 100","Bombardier DHC-8-200","Boeing 717-200","Embraer ERJ145","Boeing 737-100","Embraer EMB170-200","Tupolev Tu-204","Bombardier CRJ100","Bombardier DHC-8-300","Saab 2000","Boeing 727-200","Bombardier Q400","Embraer ERJ170","Embraer ERJ175","Boeing 737-200","Boeing 737-300","Boeing 737-400","Embraer E175-E2","Comac C919","Gulfstream G650ER","Bombardier CRJ200","Bombardier DHC-8-400","Bombardier CRJ900","BAe 146-200","Ilyushin Il-86","Boeing 737-500","Ilyushin Il-62","McDonnell Douglas MD-90","Lockheed L-1011-1","Embraer EMB190","Ilyushin Il-96-300","Bombardier CRJ700","Airbus A300-600","Embraer E190-E2","Boeing 737-900","Boeing 757-300","Ilyushin 96-400","Airbus A310-200","Boeing 767-300","Bombardier CRJ1000","Boeing 737-700","McDonnell Douglas DC-8-50","Irkut MC-21-300","Boeing 737-800","Boeing 737-600","McDonnell Douglas MD-81","Embraer E195-E2","McDonnell Douglas DC-10-30","Mitsubishi MRJ-100","Lockheed L-1011-500","Boeing 737 MAX 8","Airbus A321","Boeing 737-900ER","Boeing 747-100","Mitsubishi MRJ-90","Boeing 737-700ER","Airbus A320neo","Boeing 747-200","Airbus A310-300","Bombardier CS100","Tupolev Tu-144D","Airbus A319neo","McDonnell Douglas MD-11","Boeing 737-700C","Airbus A318","Airbus A320","Boeing 737 MAX 7","Airbus A319","Boeing 767-200ER","Boeing 757-200","Bombardier CS300","Airbus A340-200","Airbus A321neoXLR","Boeing 737 MAX 9","Boeing 777-300","Boeing 777-300ER","Airbus A340-600","Boeing 747-300","Airbus A330-200","Boeing 767-400ER","Boeing 757-200ER","Airbus A340-500","Boeing 747-400ER","Airbus A340-300","Airbus A321neoLR","Boeing 787-8 Dreamliner",Concorde,"Boeing 767-200","Boeing 737 MAX 10","Airbus A321neo","Boeing 747-400","Boeing 787-9 Dreamliner","Airbus A330-300","Airbus A330-800neo","Boeing 777-200ER","Boeing 767-300ER","Boeing 787-10 Dreamliner","Boeing 777-200LR","Boeing 747SP","Airbus A350-900","Airbus A350-900ULR","Boeing 777-8","Boeing 777-200","Airbus A350-800","Boeing 747-8i","Airbus A330-900neo","Boeing 777-9","Airbus A350-1000","Airbus A380-800"
"CSA Czech Airlines",1563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,271,0,0,0,0,0,0,0,0,0,0,14,0,0,146,0,0,0,635,426
"American Airlines",1224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,422,0,0,0,0,0,0,0,167,0,0,0,0,0,50,452,0,0,0,133,0,0
"Vulkan Airlines",824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,175,0
"American Chicken",879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,425,0,0,48,0,0,0,0,0,0,0,309,0,0,0,0,0,68,0,0,0,0
"Cosmic Airways",759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,191,0,0,0
ForeverAir,880,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,198,0,0,0,0,0,0,0,0,0,0,74,0,0,356,0,0,0,184,0
"Africa Air Express",393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,79,4,0,0,0,0,0,0,0,71,0,0,1,0,0,0,0,0,0,0,170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,25,0,0,0,0,0,0,0,0,0,0,0
"eXtreme eXpress chickenZ",596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,0,0,0
"JL Air",518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,222,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,214,0
Somalair,377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105,0,0,0,0,0,0,0,0,0,0,134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0
