Airline,Total,"Cessna 421","Britten-Norman BN-2 Islander","Pilatus PC-12","Dassault Falcon 50","Beechcraft Super King Air 200","Beechcraft 1900D","Cessna Caravan","Let L-410UVP-E20","Britten-Norman MKIII Trislander","Let L-410NG","Yakovlev Yak-40","Short 330-200","Short 360-200","Bombardier Global 5000","Bombardier DHC-6-400","Antonov An-140","Ilyushin Il-114-100","Ilyushin Il-114-300","Saab 340","Cessna Citation X","Dornier 328-110","Embraer EMB120 Brasilia","Ilyushin Il-18","CASA CN-235","Antonov An148","Yakovlev Yak-42","Fokker 70ER","Tupolev Tu-134","Bombardier DHC-8-100","Bombardier Global 7500","Embraer ERJ140","Fokker 70","Fokker 50","Tupolev Tu-154","ATR 42-600","Dornier 328JET","Embraer ERJ135","Comac ARJ21","ATR 72-600","Tupolev Tu-204","Sukhoi Superjet 100","Boeing 737-100","Boeing 717-200","Bombardier DHC-8-200","Saab 2000","Fokker 100","Embraer ERJ145XR","Embraer ERJ145","Bombardier DHC-8-300","Embraer ERJ170","Boeing 737-200","BAe 146-200","Embraer EMB170-200","Boeing 727-200","Bombardier CRJ100","Boeing 737-400","Gulfstream G650ER","Bombardier CRJ200","Ilyushin Il-62","Embraer ERJ175","Bombardier DHC-8-400","Bombardier Q400","Embraer E175-E2","Boeing 737-500","Ilyushin Il-86","Comac C919","Boeing 737-300","Airbus A300-600","Lockheed L-1011-1","Embraer EMB190","Ilyushin Il-96-300","Bombardier CRJ900","Bombardier CRJ700","McDonnell Douglas MD-90","Embraer E190-E2","Ilyushin 96-400","Boeing 737-900","Bombardier CRJ1000","Boeing 757-300","McDonnell Douglas DC-10-30","McDonnell Douglas DC-8-50","Boeing 737-600","McDonnell Douglas MD-11","Irkut MC-21-300","Embraer E195-E2","McDonnell Douglas MD-81","Boeing 737 MAX 8","Boeing 737-700","Airbus A310-300","Mitsubishi MRJ-100","Airbus A310-200","Lockheed L-1011-500","Boeing 737-800","Mitsubishi MRJ-90","Tupolev Tu-144D","Boeing 747-100","Bombardier CS100","Boeing 747-200","Boeing 767-300","Boeing 737-700C","Airbus A321neoXLR","Boeing 757-200ER","Bombardier CS300","Airbus A318","Boeing 737-700ER","Boeing 757-200","Boeing 747-300","Airbus A320neo","Airbus A319","Boeing 737-900ER","Airbus A319neo","Airbus A320","Airbus A340-300","Airbus A340-600","Boeing 777-300","Airbus A340-500","Boeing 737 MAX 7","Airbus A340-200","Boeing 747-400ER","Airbus A321","Boeing 737 MAX 9","Airbus A321neoLR","Boeing 777-300ER","Boeing 767-200ER","Boeing 787-8 Dreamliner","Airbus A321neo","Airbus A330-300","Boeing 737 MAX 10","Airbus A330-200","Boeing 767-200","Boeing 777-200ER","Boeing 767-400ER","Boeing 777-200LR","Boeing 787-9 Dreamliner","Airbus A350-900","Boeing 747-400",Concorde,"Boeing 767-300ER","Boeing 787-10 Dreamliner","Boeing 777-8","Boeing 747SP","Airbus A330-800neo","Airbus A350-900ULR","Airbus A350-800","Boeing 777-200","Airbus A330-900neo","Boeing 747-8i","Airbus A350-1000","Boeing 777-9","Airbus A380-800"
"CSA Czech Airlines",1787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,158,0,0,0,774,0,469
"American Airlines",1572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,489,0,0,0,0,0,58,0,244,0,60,0,0,0,0,457,0,96,0,144,0
"American Pacific",1158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,497,0,97,0,0,0,0,0,275,0,0,142,0,0,0,71,0,62,0,0,0
"Vulkan Airlines",941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,435,0,0,0,0,0,0,0,120,0,0,0,0,0,0,0,0,0,0,0,0,0,185,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148,0,0,0,0,0,0,0,0
ForeverAir,938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102,268,0,0,0,234,0,0
"European Southern",900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,354,0,43,0,0,0,43,0,75,0,0,385,0,0,0,0,0,0,0,0,0
"Cosmic Airways",683,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,162,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,0,0,0,0
"JL Air",622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135,0,0,0,182,0,0
"Wiliams International",512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,0,0,0,72,0,0,80,0,0,0,0,0,0,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,184,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0
BETAS,396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,177,0,0,0,0,0,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,13,0,0,0,0,0
