Airline,Total,"Cessna 421","Britten-Norman BN-2 Islander","Pilatus PC-12","Beechcraft Super King Air 200","Dassault Falcon 50","Cessna Caravan","Let L-410UVP-E20","Yakovlev Yak-40","Beechcraft 1900D","Britten-Norman MKIII Trislander","Let L-410NG","Short 330-200","Bombardier DHC-6-400","Short 360-200","Bombardier Global 5000","Saab 340","Antonov An-140","Cessna Citation X","Ilyushin Il-114-300","Embraer EMB120 Brasilia","Ilyushin Il-114-100","Dornier 328-110","CASA CN-235","Tupolev Tu-134","Embraer ERJ140","Antonov An148","Fokker 70","Bombardier Global 7500","Fokker 50","ATR 42-600","Yakovlev Yak-42","Fokker 70ER","Ilyushin Il-18","Embraer ERJ135","Bombardier DHC-8-100","Dornier 328JET","Tupolev Tu-154","Comac ARJ21","ATR 72-600","Embraer ERJ145XR","Sukhoi Superjet 100","Boeing 717-200","Bombardier DHC-8-200","Boeing 737-100","Embraer ERJ145","Fokker 100","Tupolev Tu-204","Embraer EMB170-200","Bombardier DHC-8-300","Bombardier CRJ100","Boeing 727-200","Bombardier Q400","Saab 2000","Embraer ERJ170","Embraer ERJ175","Boeing 737-200","Boeing 737-300","Embraer E175-E2","Boeing 737-400","Gulfstream G650ER","Bombardier CRJ200","Comac C919","BAe 146-200","Bombardier DHC-8-400","Bombardier CRJ900","Boeing 737-500","Ilyushin Il-86","McDonnell Douglas MD-90","Ilyushin Il-62","Ilyushin Il-96-300","Lockheed L-1011-1","Bombardier CRJ700","Embraer EMB190","Airbus A300-600","Embraer E190-E2","Boeing 737-900","Ilyushin 96-400","Boeing 757-300","Boeing 767-300","Airbus A310-200","McDonnell Douglas DC-8-50","Bombardier CRJ1000","Irkut MC-21-300","Boeing 737-700","Boeing 737-800","Boeing 737-600","McDonnell Douglas MD-81","Embraer E195-E2","Mitsubishi MRJ-100","McDonnell Douglas DC-10-30","Lockheed L-1011-500","Boeing 737 MAX 8","Boeing 737-900ER","Airbus A321","Boeing 747-100","Mitsubishi MRJ-90","Airbus A310-300","Airbus A319neo","Boeing 747-200","Airbus A320neo","Boeing 767-200ER","Tupolev Tu-144D","Bombardier CS100","Boeing 737-700ER","McDonnell Douglas MD-11","Boeing 737-700C","Airbus A318","Boeing 737 MAX 7","Airbus A319","Airbus A320","Airbus A321neoXLR","Boeing 757-200","Bombardier CS300","Airbus A340-200","Boeing 777-300","Boeing 737 MAX 9","Airbus A330-200","Boeing 767-400ER","Airbus A340-600","Boeing 777-300ER","Airbus A340-500","Boeing 747-300","Boeing 757-200ER","Boeing 747-400ER","Airbus A321neoLR","Boeing 787-8 Dreamliner","Airbus A340-300","Boeing 767-200","Boeing 737 MAX 10","Airbus A321neo",Concorde,"Boeing 787-9 Dreamliner","Boeing 747-400","Airbus A330-300","Airbus A330-800neo","Boeing 777-200ER","Boeing 767-300ER","Boeing 777-200LR","Boeing 787-10 Dreamliner","Boeing 747SP","Airbus A350-900","Airbus A350-900ULR","Boeing 777-8","Boeing 747-8i","Boeing 777-200","Airbus A350-800","Airbus A330-900neo","Boeing 777-9","Airbus A350-1000","Airbus A380-800"
"CSA Czech Airlines",1585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,280,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,150,0,0,637,429
"American Airlines",1233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,428,0,0,0,0,0,0,0,0,171,0,0,0,0,0,50,0,454,0,0,130,0,0
"Vulkan Airlines",843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,174,0
"American Chicken",881,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,427,0,0,0,0,48,0,0,0,0,0,0,309,0,0,0,68,0,0,0,0,0,0
"Cosmic Airways",760,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,174,0,0,0
ForeverAir,888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,198,0,0,0,0,0,0,0,0,0,0,0,74,0,0,0,356,0,0,190,0
"Africa Air Express",397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,85,4,0,0,0,0,0,0,71,0,0,0,0,0,0,0,0,0,0,2,0,171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,21,0,0,0,0,0,0,0,0,0,0,0,0
"eXtreme eXpress chickenZ",603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,0,0,0
"JL Air",528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,221,0
MayanAir,398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,0,0,0,0,0,0,14,0,57,0,0,0,0,48,0,17,0,0,0,0,0
