Airline,Total,"Cessna 421","Pilatus PC-12","Beechcraft Super King Air 200","Britten-Norman BN-2 Islander","Beechcraft 1900D","Cessna Caravan","Dassault Falcon 50","Lockheed JetStar","McDonnell Douglas DC-5","McDonnell Douglas DC-3","Britten-Norman MKIII Trislander","Let L-410UVP-E20","Let L-410NG","De Havilland Canada DHC-6-400","BAe Jetstream 31","Yakovlev Yak-40","CASA C-212 Aviocar","Bombardier Global 5000","Embraer EMB120 Brasilia","McDonnell Douglas DC-4","Saab 90 Scandia","BAe Jetstream 41","Cessna Citation X","Antonov An-140","McDonnell Douglas MD-220","McDonnell Douglas DC-6","Short 330-200","Sukhoi Su-80","Boeing 307 Stratoliner","Short 360-200","Saab 340","Shaanxi Y-7","Bombardier Global 7500","Convair CV-240","Tupolev Tu-124","Embraer ERJ140","CASA CN-235","De Havilland Canada DHC-8-100","Convair CV-340","Lockheed Constellation L-649",F27-100,"Convair CV-540","Dornier 328-110","Convair CV-440","Lockheed Constellation L-749","ATR 42-600","Embraer ERJ135","Convair CV-640","McDonnell Douglas DC-7","Tupolev Tu-134","ATR 42-600S","De Havilland Canada DHC-8-200","Ilyushin Il-114-100","De Havilland Canada DHC-7-100","Baade 152","Antonov An-72","Embraer ERJ145","Vickers Viscount",F27-500,"Hawker Siddeley HS748","De Havilland Canada DHC-8-300","Ilyushin Il-114-300","NAMC YS-11","Xi'an MA60","Fokker F28-3000","Fokker 50","BAe Jetstream 61","Saab 2000","Dornier 328JET","Lockheed Super Constellation L-1049G","Shaanxi Y-8","Embraer ERJ145XR","ATR 72-600","Fokker F28-1000","Dornier 428JET","Dornier 528","Fokker F28-2000","Antonov An-158","Fokker F28-4000","Xi'an MA600","Tupolev Tu-104","Antonov An148","Gulfstream G650ER","Bombardier CRJ100","Embraer EMB170-200","McDonnell Douglas DC-9-20","Fokker 70","BAC 1-11 300","Embraer ERJ170","McDonnell Douglas DC-9-10","Fokker 70ER","De Havilland Canada Q400","Lockheed L-188 Electra","Lockheed Starliner L-1649","Xi'an MA700","Embraer ERJ175","Sud Aviation Caravelle 10","Hawker Siddeley Trident 1C","Sud Aviation Caravelle I","McDonnell Douglas DC-8-10","Yakovlev Yak-42","Hawker Siddeley Trident 1E","Bombardier CRJ200","Bristol Britannia 312","Sukhoi Superjet 100","BAe 146-100","BAe 146-200","Fokker 100","Embraer E175-E2","Tupolev Tu-334-200","McDonnell Douglas DC-9-30","Tupolev Tu-334-100","Boeing 377 Stratocruiser","Dornier 728","McDonnell Douglas DC-9-40","Ilyushin Il-18","McDonnell Douglas DC-8-30","Convair 880","Boeing 737-100","Comac ARJ21","Tupolev Tu-154","Shaanxi Y-10","De Havilland Canada DHC-8-400","Bombardier CRJ700","McDonnell Douglas DC-8-72","Dornier 928","BAC 1-11 500","Sukhoi Superjet 130NG","Convair 990 Coronado","Sud Aviation Caravelle 12","Boeing 727-100","Bombardier CRJ900","Antonov An-10","BAe 146-300","Boeing 717-200","Embraer EMB190","Bristol Britannia 310","Bombardier CRJ1000","Tupolev Tu-114","Boeing 737-200","Boeing 720","Vickers Vanguard","Tupolev Tu-204","Embraer E190-E2","Boeing 707-320C","McDonnell Douglas DC-9-50","Irkut MC-21-100","McDonnell Douglas DC-8-63","Boeing 707-120B","Mitsubishi MRJ-100","Boeing 737-300","McDonnell Douglas MD-83","Convair 990A Coronado","McDonnell Douglas MD-90","McDonnell Douglas MD-90ER","Hawker Siddeley Trident 2E","Ilyushin Il-62","McDonnell Douglas MD-87","Boeing 737-500","McDonnell Douglas DC-8-50","Hawker Siddeley Trident 3B","Boeing 737-600","Vickers VC10","Mitsubishi MRJ-90","Boeing 727-200","Boeing 737-400","Embraer E195-E2","Boeing 737-700ER","Comac C919","Boeing 737-700","McDonnell Douglas MD-81","Ilyushin Il-86","Dassault Mercure","Comac C929-500","Irkut MC-21-200","Airbus A300-600","Boeing 737 MAX 7","Dornier 1128","Irkut MC-21-300","Boeing 737-700C","Boeing 757-100","Ilyushin Il-96-300","Comac C929-700","Lockheed L-1011-1","Boeing 737-900","Comac C929-600","Irkut MC-21-400","Lockheed L-1011-500","Boeing 737 MAX 8","Boeing 737-900ER","Boeing 737-800","Lockheed L-1011-200","Airbus A320","Boeing 767-300","Airbus A220-100","Airbus A319","Airbus A318","Airbus A220-300","Ilyushin 96-400","Boeing 737 MAX 8-200","Airbus A321neoXLR","Airbus A220-500","Boeing 757-200ER","Boeing 757-300","Airbus A319neo","McDonnell Douglas MD-11 ER","Boeing 757-200","McDonnell Douglas DC-10-30","McDonnell Douglas DC-10-10","McDonnell Douglas MD-11","Airbus A340-200","Airbus A310-200","Boeing 737 MAX 10","Airbus A320neo","Boeing 797-6","Airbus A321","Boeing 797-7","Airbus A330-300","Boeing 737 MAX 9","Airbus A340-300","Tupolev Tu-144D","Boeing 787-8 Dreamliner","Airbus A330-200","Airbus A310-300","Airbus A321neo","Boeing 767-200ER","Airbus A321neoLR","Boeing 747-100","Boeing 767-200","Boeing 767-300ER","Airbus A340-600","Aurora D8","Airbus A300B4","Comac C939","Boeing 777-200ER","Boeing 787-9 Dreamliner","McDonnell Douglas MD-11 ST","Boeing 767-400ER","Boom Overture","Boeing 777-300","Airbus A350-900","Boeing 747-300","Boeing 2707",Concorde,"Comac C949","Boeing 777-300ER","Boeing 787-10 Dreamliner","Boeing 777-8","Boeing 747SP","Boeing 747-200","Airbus A330-800neo","Airbus A340-500","Airbus A350-800","Boeing 777-200","Airbus A350-900ULR","Airbus A330-900neo","Boeing 777-200LR","Boeing 777-9","Airbus A350-1000 Sunrise","Boeing 747-400","Boeing 747-400ER","Airbus A350-1000","Boeing 747-8i","Airbus A380-800"
"Rat King",1278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,450
"Koala Air",711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,0,625
"Ajwaa Airlines",657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,567
"Glorious Chicken",670,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,318,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0
"Pineapple Air",844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,0,0,345,0,355
"NAO air",364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,227,0,0,0,0,0,0,0,0,0,0,0,0,74
"AeroLux Cruiser",367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,64,0,0,0,0,0,0,72,0,0,0,0,0,0,0,0,0,0,0,0,131,0,0,0,0,0,0,0,0,0,0,0,0,0,58,0
"Worldwide Express",430,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0
"Chicken Wings",382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,254,0,0
"China Number One",472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,177,0,0,0,0,0,0,0,127
