Airline,Total,"Pilatus PC-12","Beechcraft Super King Air 200","Britten-Norman BN-2 Islander","Beechcraft 1900D","Cessna Caravan","Dassault Falcon 50","Lockheed JetStar","McDonnell Douglas DC-5","McDonnell Douglas DC-3","Britten-Norman MKIII Trislander","Let L-410UVP-E20","Let L-410NG","De Havilland Canada DHC-6-400","Cessna 421","BAe Jetstream 31","Yakovlev Yak-40","Bombardier Global 5000","McDonnell Douglas DC-4","Cessna Citation X","Embraer EMB120 Brasilia","BAe Jetstream 41","CASA C-212 Aviocar","Antonov An-140","McDonnell Douglas MD-220","McDonnell Douglas DC-6","Short 330-200","Sukhoi Su-80","Boeing 307 Stratoliner","Saab 90 Scandia","Saab 340","Short 360-200","Shaanxi Y-7","Bombardier Global 7500","Convair CV-240","Tupolev Tu-124","McDonnell Douglas DC-7","CASA CN-235","Embraer ERJ140","De Havilland Canada DHC-8-100","Convair CV-340","Lockheed Constellation L-649",F27-100,"Convair CV-540","Dornier 328-110","Convair CV-440","Lockheed Constellation L-749","Convair CV-640","ATR 42-600","Embraer ERJ135","Tupolev Tu-134","De Havilland Canada DHC-8-200","ATR 42-600S","Ilyushin Il-114-100","De Havilland Canada DHC-7-100","Baade 152","Embraer ERJ145","Vickers Viscount",F27-500,"Ilyushin Il-114-300","Hawker Siddeley HS748","NAMC YS-11","Xi'an MA60","Fokker 50","Fokker F28-3000","Saab 2000","BAe Jetstream 61","Lockheed Super Constellation L-1049G","Shaanxi Y-8","Antonov An-72","McDonnell Douglas DC-9-10","Dornier 328JET","Fokker F28-1000","ATR 72-600","Dornier 428JET","Embraer ERJ145XR","Fokker F28-2000","Antonov An-158","Xi'an MA600","De Havilland Canada DHC-8-300","Tupolev Tu-104","Fokker F28-4000","Bombardier CRJ100","McDonnell Douglas DC-9-20","Antonov An148","Dornier 728","De Havilland Canada DHC-8-400","Xi'an MA700","Embraer ERJ170","Fokker 70","Embraer EMB170-200","Gulfstream G650ER","BAC 1-11 300","Fokker 70ER","McDonnell Douglas DC-8-10","McDonnell Douglas DC-9-30","Sud Aviation Caravelle I","Lockheed L-188 Electra","Lockheed Starliner L-1649","Hawker Siddeley Trident 1C","De Havilland Canada Q400","Embraer ERJ175","Sud Aviation Caravelle 10","Bristol Britannia 312","McDonnell Douglas DC-9-40","BAe 146-100","Hawker Siddeley Trident 1E","Sukhoi Superjet 100","Yakovlev Yak-42","Fokker 100","BAe 146-200","Tupolev Tu-334-200","Tupolev Tu-334-100","Ilyushin Il-18","Boeing 377 Stratocruiser","McDonnell Douglas DC-8-30","Convair 880","BAC 1-11 500","Embraer E175-E2","Boeing 737-100","BAe 146-300","Tupolev Tu-154","Sukhoi Superjet 130NG","McDonnell Douglas DC-8-72","Bombardier CRJ200","Convair 990 Coronado","Comac ARJ21","Dornier 928","Sud Aviation Caravelle 12","Bombardier CRJ900","McDonnell Douglas DC-8-63","Boeing 727-100","Dornier 528","Bombardier CRJ700","Embraer EMB190","Tupolev Tu-204","Boeing 717-200","Antonov An-10","Bristol Britannia 310","McDonnell Douglas DC-9-50","Shaanxi Y-10","Tupolev Tu-114","Boeing 720","Vickers Vanguard","Boeing 737-200","Boeing 707-320C","McDonnell Douglas MD-87","Embraer E190-E2","Mitsubishi MRJ-100","Convair 990A Coronado","Boeing 707-120B","Irkut MC-21-100","Boeing 737-300","Bombardier CRJ1000","Dassault Mercure","McDonnell Douglas MD-81","McDonnell Douglas MD-83","Embraer E195-E2","Boeing 737-500","Ilyushin Il-62","Hawker Siddeley Trident 2E","McDonnell Douglas DC-8-50","Hawker Siddeley Trident 3B","Comac C919","Mitsubishi MRJ-90","Boeing 727-200","Vickers VC10","Irkut MC-21-200","Boeing 737-600","McDonnell Douglas MD-90ER","Ilyushin Il-86","Ilyushin Il-96-300","Irkut MC-21-300","Boeing 737-400","Airbus A319","Comac C929-600","Boeing 737-700C","Boeing 737-900","Boeing 757-100","Airbus A319neo","Boeing 737-800","Lockheed L-1011-1","Boeing 737-700","Boeing 737-700ER","Airbus A300-600","Boeing 757-300","Dornier 1128","Airbus A320","Airbus A220-100","Lockheed L-1011-500","Comac C929-700","Irkut MC-21-400","McDonnell Douglas MD-90","Ilyushin 96-400","Airbus A220-500","Boeing 737 MAX 7","Airbus A220-300","Boeing 767-300","McDonnell Douglas MD-11 ER","Boeing 737 MAX 8-200","Airbus A310-200","Lockheed L-1011-200","Airbus A310-300","Airbus A318","McDonnell Douglas DC-10-30","McDonnell Douglas DC-10-10","Comac C929-500","Boeing 737-900ER","Boeing 757-200ER","Boeing 737 MAX 8","Boom Overture","Airbus ZeroE Turboprop","Airbus A320neo","McDonnell Douglas MD-11","McDonnell Douglas MD-11 ST",Concorde,"Airbus A340-200","Airbus A321","Boeing 757-200","Boeing 767-200ER","Boeing 787-9ER","Airbus A321neo","Airbus A321neoXLR","Boeing 737 MAX 9","Airbus A340-300","Tupolev Tu-144D","Boeing 787-8 Dreamliner","Boeing 747-100","Airbus A321neoLR","Airbus A330-200","Boeing 767-400ER","Boeing 767-300ER","Aurora D8","Comac C949","Boeing 747-200","Boeing 737 MAX 10","Boeing 767-200","Boeing 797-6","Airbus A300B4","Boeing 797-7","Airbus A340-600","Airbus A340-500","Boeing 787-10ER","Boeing 777-200ER","Boeing 777-300","Boeing 777-300ER","Boeing 787-9 Dreamliner","Boeing 747-300","Airbus A350-900ULR","Boeing 747-400ER","Comac C939","Airbus A350-900","Boeing 2707","Airbus A330-300","Boeing 787-10 Dreamliner","Airbus A350-1000 Sunrise","Airbus A330-800neo","Boeing 747SP","McDonnell Douglas MD-12","Sukhoi KR860","Boeing 777-200","Airbus ZeroE Turbofan","Airbus A350-800","Airbus A330-900neo","Boeing 777-200LR","Boeing 777-8","Airbus A350-1000","Boeing 747-400","Boeing 777-9","Boeing 747-8i","Airbus A380-800"
"Global Rats USA",872,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,222,0,0,0,294,0
"Bark and Fly",752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOUP,458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,194,0,0,0,0,0,0,0,0,0,0,0,21,0
"Worldwide Express",414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global Rats JPN",555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,153,0,0,0,268
"Linglong Air",393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,268,0,0,37,0,0,0,0
"Global Rats DEU",539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,186,0,0,0,0,0,0,0,112
"Qantas Link",303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,207,0,0,0
"Mango Express",462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,0,0,0,0,0,0,0,0
"Mango Cats",442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0
