Airline,Total,"Pilatus PC-12","Beechcraft Super King Air 200","Britten-Norman BN-2 Islander","Cessna Caravan","Beechcraft 1900D","Dassault Falcon 50","Lockheed JetStar","McDonnell Douglas DC-5","McDonnell Douglas DC-3","Britten-Norman MKIII Trislander","Let L-410UVP-E20","Let L-410NG","Cessna 421","BAe Jetstream 31","Yakovlev Yak-40","Bombardier Global 5000","De Havilland Canada DHC-6-400","McDonnell Douglas DC-4","Cessna Citation X","BAe Jetstream 41","Antonov An-140","Embraer EMB120 Brasilia","McDonnell Douglas DC-6","Short 330-200","CASA C-212 Aviocar","Sukhoi Su-80","Short 360-200","Shaanxi Y-7","Saab 340","Boeing 307 Stratoliner","Saab 90 Scandia","McDonnell Douglas MD-220","Convair CV-240","Tupolev Tu-124","Bombardier Global 7500","CASA CN-235","Lockheed Constellation L-649","Embraer ERJ140","Convair CV-540","Convair CV-340","McDonnell Douglas DC-7","Dornier 328-110","Convair CV-440","Convair CV-640","De Havilland Canada DHC-8-100","ATR 72-600","Lockheed Constellation L-749",F27-100,"Tupolev Tu-134","Ilyushin Il-114-100","Baade 152","ATR 42-600","De Havilland Canada DHC-8-200","ATR 42-600S","De Havilland Canada DHC-7-100","Vickers Viscount",F27-500,"Ilyushin Il-114-300","Hawker Siddeley HS748","NAMC YS-11","Xi'an MA60","Fokker 50","Fokker F28-3000","Embraer ERJ135","BAe Jetstream 61","De Havilland Canada DHC-8-300","Lockheed Super Constellation L-1049G","Shaanxi Y-8","Saab 2000","Fokker F28-1000","Dornier 328JET","Dornier 428JET","Antonov An-72","Fokker F28-2000","Fokker F28-4000","Embraer ERJ145","Embraer ERJ145XR","Tupolev Tu-104","Antonov An148","Xi'an MA700","Bombardier CRJ200","Dornier 728","McDonnell Douglas DC-9-10","McDonnell Douglas DC-9-20","Fokker 70","BAC 1-11 300","Bombardier CRJ100","Embraer ERJ170","Fokker 70ER","Embraer EMB170-200","Xi'an MA600","Sud Aviation Caravelle I","Lockheed L-188 Electra","De Havilland Canada DHC-8-400","Hawker Siddeley Trident 1C","Lockheed Starliner L-1649","Bristol Britannia 312","Sud Aviation Caravelle 10","Yakovlev Yak-42","Antonov An-158","McDonnell Douglas DC-8-10","Hawker Siddeley Trident 1E","Embraer ERJ175","Gulfstream G650ER","De Havilland Canada Q400","Fokker 100","BAe 146-100","BAe 146-200","Tupolev Tu-334-200","Sukhoi Superjet 100","Tupolev Tu-334-100","McDonnell Douglas DC-9-30","McDonnell Douglas DC-9-40","Boeing 377 Stratocruiser","Convair 880","BAe 146-300","Ilyushin Il-18","BAC 1-11 500","McDonnell Douglas DC-8-30","Boeing 737-100","Tupolev Tu-154","Shaanxi Y-10","Convair 990 Coronado","Comac ARJ21","Sud Aviation Caravelle 12","Sukhoi Superjet 130NG","Bombardier CRJ700","Embraer E175-E2","McDonnell Douglas DC-8-63","McDonnell Douglas DC-8-72","Dornier 928","Tupolev Tu-114","Dornier 528","Boeing 727-100","Boeing 717-200","Bombardier CRJ1000","Bristol Britannia 310","Bombardier CRJ900","Antonov An-10","McDonnell Douglas DC-9-50","Tupolev Tu-204","Embraer EMB190","Boeing 720","Vickers Vanguard","Embraer E190-E2","Boeing 707-320C","Boeing 737-200","Convair 990A Coronado","Boeing 707-120B","Mitsubishi MRJ-100","McDonnell Douglas MD-87","Boeing 737-300","Ilyushin Il-62","Vickers VC10","Hawker Siddeley Trident 2E","Boeing 737-500","McDonnell Douglas MD-90","McDonnell Douglas MD-83","Dassault Mercure","Irkut MC-21-100","Boeing 737-600","Hawker Siddeley Trident 3B","McDonnell Douglas MD-90ER","Boeing 727-200","Boeing 737-400","McDonnell Douglas DC-8-50","McDonnell Douglas MD-81","Ilyushin Il-86","Ilyushin Il-96-300","Comac C919","Boeing 737-700","Mitsubishi MRJ-90","Embraer E195-E2","Irkut MC-21-200","Boeing 757-100","Lockheed L-1011-1","Airbus A318","Irkut MC-21-400","Airbus A320","Airbus A319","Boeing 737-700C","Dornier 1128","Boeing 737-900","Lockheed L-1011-500","Airbus A300-600","Boeing 767-300","Boeing 737-800","Boeing 737-700ER","Ilyushin 96-400","Comac C929-700","Boeing 757-300","Boeing 737-900ER","Comac C929-600","Irkut MC-21-300","Airbus A220-100","Airbus A319neo","Boeing 737 MAX 7","Airbus A320neo","McDonnell Douglas MD-11","Airbus A310-300","Boeing 737 MAX 8","McDonnell Douglas MD-11 ER","Boeing 737 MAX 8-200","McDonnell Douglas DC-10-30","McDonnell Douglas DC-10-10","Lockheed L-1011-200","Comac C929-500","Airbus A220-300","Aurora D8","Boom Overture","Airbus A220-500","Airbus A321","Airbus ZeroE Turboprop","Airbus A310-200","McDonnell Douglas MD-11 ST","Boeing 767-200ER","Airbus A321neoXLR","Airbus A340-300","Airbus A340-200","Boeing 757-200ER","Boeing 767-300ER",Concorde,"Boeing 737 MAX 9","Tupolev Tu-144D","Boeing 757-200","Boeing 787-8 Dreamliner","Boeing 747-100","Boeing 787-9ER","Airbus A321neo","Boeing 737 MAX 10","Airbus A321neoLR","Airbus A330-200","Boeing 747-200","Boeing 767-400ER","Boeing 767-200","Boeing 797-6","Boeing 787-9 Dreamliner","Airbus A340-500","Boeing 797-7","Airbus A340-600","Comac C949","Airbus A330-300","Airbus A300B4","McDonnell Douglas MD-12","Boeing 777-300","Boeing 747-400","Boeing 747-300","Comac C939","Boeing 787-10ER","Boeing 777-200ER","Sukhoi KR860","Airbus A350-900","Boeing 2707","Boeing 787-10 Dreamliner","Airbus A350-900ULR","Boeing 777-300ER","Boeing 747-400ER","Airbus A350-1000 Sunrise","Boeing 747SP","Airbus A330-800neo","Airbus A350-800","Boeing 777-200","Airbus A330-900neo","Boeing 777-200LR","Boeing 777-8","Airbus A350-1000","Airbus ZeroE Turbofan","Boeing 747-8i","Boeing 777-9","Airbus A380-800"
"Global Rats USA",1101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,329,0,0,506,0,0
MOUP,805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,352,0,0,0,0,0,0,0,0,23,0,0
"Bark and Fly",909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27
"Global Rats JPN",843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,320,0,0,0,457
"Air Berlin",715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,482,0,0,0,0,0,0,100
"Global Rats DEU",860,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,422,0,0,0,0,0,0,0,0,291
"Worldwide Express",696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global Rats CHN",738,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gondor Air",584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,495,0,0,0,10,0,0
"Cold Air",421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,19,0,0,34,0,0,0,7
