Airline,Total,"Pilatus PC-12","Beechcraft Super King Air 200","Britten-Norman BN-2 Islander","Cessna Caravan","Beechcraft 1900D","Dassault Falcon 50","Lockheed JetStar","McDonnell Douglas DC-5","McDonnell Douglas DC-3","Britten-Norman MKIII Trislander","Let L-410UVP-E20","Let L-410NG","Cessna 421","Yakovlev Yak-40","BAe Jetstream 31","Bombardier Global 5000","De Havilland Canada DHC-6-400","McDonnell Douglas DC-4","Cessna Citation X","BAe Jetstream 41","Antonov An-140","McDonnell Douglas DC-6","Embraer EMB120 Brasilia","Short 330-200","Boeing 307 Stratoliner","Saab 340","Short 360-200","Shaanxi Y-7","CASA C-212 Aviocar","Sukhoi Su-80","McDonnell Douglas MD-220","Saab 90 Scandia","Convair CV-240","Tupolev Tu-124","Bombardier Global 7500","CASA CN-235","Lockheed Constellation L-649","Embraer ERJ140","Convair CV-540","Convair CV-340","McDonnell Douglas DC-7","Dornier 328-110","Convair CV-440",F27-100,"Convair CV-640","Lockheed Constellation L-749","ATR 72-600","De Havilland Canada DHC-8-100","Tupolev Tu-134","Ilyushin Il-114-100","Baade 152","De Havilland Canada DHC-8-200","ATR 42-600","ATR 42-600S","De Havilland Canada DHC-7-100","Vickers Viscount",F27-500,"Ilyushin Il-114-300","Hawker Siddeley HS748","NAMC YS-11","Xi'an MA60","Fokker 50","Fokker F28-3000","Embraer ERJ135","BAe Jetstream 61","Lockheed Super Constellation L-1049G","Shaanxi Y-8","De Havilland Canada DHC-8-300","Saab 2000","Fokker F28-1000","Dornier 328JET","Dornier 428JET","Fokker F28-2000","Antonov An-72","Embraer ERJ145","Fokker F28-4000","Tupolev Tu-104","Antonov An148","Embraer ERJ145XR","Xi'an MA600","Xi'an MA700","Dornier 728","McDonnell Douglas DC-9-10","McDonnell Douglas DC-9-20","Fokker 70","Embraer ERJ170","BAC 1-11 300","Fokker 70ER","Bombardier CRJ100","Embraer EMB170-200","Sud Aviation Caravelle I","Lockheed L-188 Electra","Hawker Siddeley Trident 1C","Lockheed Starliner L-1649","Bristol Britannia 312","De Havilland Canada DHC-8-400","Yakovlev Yak-42","Embraer ERJ175","Bombardier CRJ200","Sud Aviation Caravelle 10","Hawker Siddeley Trident 1E","Antonov An-158","McDonnell Douglas DC-8-10","De Havilland Canada Q400","BAe 146-100","BAe 146-200","Fokker 100","Tupolev Tu-334-200","Gulfstream G650ER","Sukhoi Superjet 100","Tupolev Tu-334-100","McDonnell Douglas DC-9-40","Convair 880","BAe 146-300","Ilyushin Il-18","Boeing 377 Stratocruiser","McDonnell Douglas DC-8-30","McDonnell Douglas DC-9-30","BAC 1-11 500","Tupolev Tu-154","Boeing 737-100","Sukhoi Superjet 130NG","Convair 990 Coronado","Comac ARJ21","Shaanxi Y-10","Sud Aviation Caravelle 12","Bombardier CRJ700","McDonnell Douglas DC-8-63","Embraer E175-E2","McDonnell Douglas DC-8-72","Tupolev Tu-114","Dornier 528","Boeing 727-100","Boeing 717-200","Bombardier CRJ1000","Bristol Britannia 310","Antonov An-10","McDonnell Douglas DC-9-50","Dornier 928","Bombardier CRJ900","Embraer EMB190","Boeing 720","Vickers Vanguard","Boeing 707-320C","Tupolev Tu-204","Boeing 737-200","Embraer E190-E2","Convair 990A Coronado","Boeing 707-120B","Mitsubishi MRJ-100","McDonnell Douglas MD-87","Boeing 737-300","Vickers VC10","Ilyushin Il-62","Hawker Siddeley Trident 2E","McDonnell Douglas MD-83","Boeing 737-500","Irkut MC-21-100","McDonnell Douglas MD-90","Boeing 737-600","McDonnell Douglas MD-90ER","Hawker Siddeley Trident 3B","Dassault Mercure","Boeing 727-200","Boeing 737-400","McDonnell Douglas DC-8-50","McDonnell Douglas MD-81","Ilyushin Il-86","Ilyushin Il-96-300","Mitsubishi MRJ-90","Comac C919","Boeing 737-700","Embraer E195-E2","Irkut MC-21-200","Irkut MC-21-400","Airbus A318","Boeing 757-100","Lockheed L-1011-1","Airbus A320","Boeing 737-700C","Dornier 1128","Boeing 737-900","Lockheed L-1011-500","Airbus A319","Airbus A300-600","Boeing 767-300","Boeing 737-700ER","Boeing 737-800","Comac C929-700","Airbus A320neo","Ilyushin 96-400","Irkut MC-21-300","Airbus A220-100","Boeing 737-900ER","McDonnell Douglas MD-11","Boeing 757-300","Comac C929-600","McDonnell Douglas MD-11 ER","Boeing 737 MAX 8","Airbus A319neo","Boeing 737 MAX 8-200","Boeing 737 MAX 7","McDonnell Douglas DC-10-30","McDonnell Douglas DC-10-10","Lockheed L-1011-200","Comac C929-500","Airbus A220-300","Airbus A310-300","Aurora D8","Boom Overture","Airbus A220-500","Airbus A321","Airbus A310-200","Airbus ZeroE Turboprop","McDonnell Douglas MD-11 ST","Boeing 767-200ER","Airbus A340-200","Airbus A340-300","Boeing 757-200ER","Airbus A321neoXLR","Boeing 767-300ER","Boeing 767-400ER","Boeing 737 MAX 9","Tupolev Tu-144D","Boeing 757-200","Boeing 787-8 Dreamliner","Boeing 787-9ER","Boeing 747-100",Concorde,"Airbus A321neo","Boeing 747-200","Boeing 737 MAX 10","Airbus A321neoLR","Airbus A330-200","Boeing 767-200","Boeing 797-6","Airbus A340-500","Boeing 797-7","Boeing 787-9 Dreamliner","Airbus A340-600","Airbus A330-300","Comac C949","Airbus A300B4","Boeing 777-300","McDonnell Douglas MD-12","Boeing 747-400","Comac C939","Boeing 777-200ER","Boeing 747-300","Boeing 787-10ER","Sukhoi KR860","Boeing 2707","Airbus A350-900","Airbus A350-900ULR","Boeing 787-10 Dreamliner","Boeing 747-400ER","Boeing 747SP","Airbus A350-1000 Sunrise","Boeing 777-300ER","Airbus A330-800neo","Boeing 777-200","Airbus A350-800","Airbus A330-900neo","Boeing 777-200LR","Boeing 777-8","Airbus A350-1000","Airbus ZeroE Turbofan","Boeing 747-8i","Boeing 777-9","Airbus A380-800"
"Global Rats USA",1101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,329,0,0,506,0,0
MOUP,856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,376,0,0,0,0,0,0,0,0,0,0,23,0,0
"Bark and Fly",914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27
"Air Berlin",740,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,492,0,0,0,0,0,0,115
"Global Rats JPN",843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,320,0,0,0,457
"Global Rats DEU",860,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,422,0,0,0,0,0,0,0,291
"Worldwide Express",714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global Rats CHN",738,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gondor Air",619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,527,0,0,0,10,0,0
"Cold Air",446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,0,0,0,34,0,0,0,7
