"Airline","Total","Pilatus.PC.12","Beechcraft.Super.King.Air.200","Britten.Norman.BN.2.Islander","Beechcraft.1900D","Cessna.Caravan","Dassault.Falcon.50","Lockheed.JetStar","McDonnell.Douglas.DC.5","McDonnell.Douglas.DC.3","Britten.Norman.MKIII.Trislander","Let.L.410UVP.E20","De.Havilland.Canada.DHC.6.400","Let.L.410NG","Cessna.421","BAe.Jetstream.31","Yakovlev.Yak.40","Bombardier.Global.5000","CASA.C.212.Aviocar","Embraer.EMB120.Brasilia","McDonnell.Douglas.DC.4","Cessna.Citation.X","BAe.Jetstream.41","Antonov.An.140","McDonnell.Douglas.MD.220","McDonnell.Douglas.DC.6","Saab.90.Scandia","Short.330.200","Sukhoi.Su.80","Boeing.307.Stratoliner","Short.360.200","Saab.340","Shaanxi.Y.7","Tupolev.Tu.124","Convair.CV.240","Bombardier.Global.7500","Convair.CV.340","F27.100","Lockheed.Constellation.L.649","De.Havilland.Canada.DHC.8.100","Embraer.ERJ140","Convair.CV.540","CASA.CN.235","Dornier.328.110","Convair.CV.440","McDonnell.Douglas.DC.7","Convair.CV.640","ATR.42.600","Lockheed.Constellation.L.749","De.Havilland.Canada.DHC.8.200","Tupolev.Tu.134","ATR.42.600S","Ilyushin.Il.114.100","De.Havilland.Canada.DHC.7.100","Baade.152","Embraer.ERJ135","Antonov.An.72","Vickers.Viscount","F27.500","Ilyushin.Il.114.300","Hawker.Siddeley.HS748","Embraer.ERJ145","NAMC.YS.11","Embraer.ERJ145XR","De.Havilland.Canada.DHC.8.300","Xi.an.MA60","Fokker.50","Fokker.F28.3000","BAe.Jetstream.61","Lockheed.Super.Constellation.L.1049G","Saab.2000","Shaanxi.Y.8","Fokker.F28.1000","Dornier.428JET","ATR.72.600","McDonnell.Douglas.DC.9.10","Dornier.328JET","Fokker.F28.2000","Antonov.An.158","Fokker.F28.4000","Dornier.528","Antonov.An148","Bombardier.CRJ100","McDonnell.Douglas.DC.9.20","Tupolev.Tu.104","Xi.an.MA600","Xi.an.MA700","Dornier.728","Embraer.ERJ170","Fokker.70","BAC.1.11.300","Embraer.EMB170.200","Fokker.70ER","De.Havilland.Canada.Q400","De.Havilland.Canada.DHC.8.400","Sud.Aviation.Caravelle.I","Lockheed.L.188.Electra","Lockheed.Starliner.L.1649","Hawker.Siddeley.Trident.1C","Embraer.ERJ175","Sud.Aviation.Caravelle.10","McDonnell.Douglas.DC.8.10","Yakovlev.Yak.42","Hawker.Siddeley.Trident.1E","Gulfstream.G650ER","BAe.146.100","Bristol.Britannia.312","Sukhoi.Superjet.100","Fokker.100","Tupolev.Tu.334.200","Tupolev.Tu.334.100","Ilyushin.Il.18","Boeing.377.Stratocruiser","BAe.146.200","Boeing.737.100","Convair.880","Embraer.E175.E2","McDonnell.Douglas.DC.9.40","Bombardier.CRJ200","BAC.1.11.500","Tupolev.Tu.154","McDonnell.Douglas.DC.8.30","Sukhoi.Superjet.130NG","McDonnell.Douglas.DC.8.72","Comac.ARJ21","Bombardier.CRJ900","Sud.Aviation.Caravelle.12","Convair.990.Coronado","McDonnell.Douglas.DC.9.30","BAe.146.300","Boeing.727.100","Shaanxi.Y.10","McDonnell.Douglas.DC.8.63","Tupolev.Tu.114","Antonov.An.10","Embraer.EMB190","Boeing.717.200","Bombardier.CRJ1000","Bristol.Britannia.310","Embraer.E190.E2","Boeing.737.200","Dornier.928","Boeing.720","Vickers.Vanguard","Tupolev.Tu.204","McDonnell.Douglas.DC.9.50","Boeing.707.120B","Bombardier.CRJ700","Boeing.707.320C","McDonnell.Douglas.MD.87","Convair.990A.Coronado","Mitsubishi.MRJ.100","Dassault.Mercure","McDonnell.Douglas.MD.81","Boeing.737.300","Irkut.MC.21.100","McDonnell.Douglas.MD.90ER","Hawker.Siddeley.Trident.2E","Ilyushin.Il.62","Boeing.737.600","Irkut.MC.21.300","McDonnell.Douglas.DC.8.50","Vickers.VC10","Mitsubishi.MRJ.90","Hawker.Siddeley.Trident.3B","Boeing.737.500","Comac.C919","Irkut.MC.21.200","McDonnell.Douglas.MD.83","Boeing.727.200","Boeing.737.400","Boeing.737.700","Ilyushin.Il.86","Ilyushin.Il.96.300","Dornier.1128","Boeing.737.700ER","Airbus.A320","Boeing.737.900","Embraer.E195.E2","Irkut.MC.21.400","Boeing.737.700C","Airbus.A319","McDonnell.Douglas.MD.90","Airbus.A319neo","Airbus.A310.200","Airbus.A220.300","Boeing.757.100","Boeing.737.800","Lockheed.L.1011.1","Comac.C929.600","Comac.C929.700","Airbus.A300.600","Boeing.737.900ER","Boeing.737.MAX.8","Airbus.A220.100","Comac.C929.500","Boeing.757.300","Lockheed.L.1011.500","Lockheed.L.1011.200","Boeing.757.200","Airbus.A310.300","Boeing.737.MAX.8.200","Airbus.A318","Boeing.767.300","McDonnell.Douglas.MD.11","Ilyushin.96.400","Boeing.757.200ER","Boeing.737.MAX.7","Airbus.A321neoXLR","McDonnell.Douglas.MD.11.ER","McDonnell.Douglas.DC.10.30","McDonnell.Douglas.DC.10.10","Airbus.A220.500","Airbus.A321","Airbus.A320neo","Boeing.787.9ER","Airbus.A300B4","Airbus.A340.200","Boeing.737.MAX.9","Boeing.767.200ER","Aurora.D8","Airbus.A330.200","Boeing.797.7","Concorde","Boom.Overture","Airbus.A340.300","McDonnell.Douglas.MD.11.ST","Comac.C949","Airbus.ZeroE.Turboprop","Boeing.767.400ER","Comac.C939","Airbus.A321neoLR","Airbus.A321neo","Airbus.A330.300","Tupolev.Tu.144D","Boeing.787.8.Dreamliner","Boeing.747.100","Boeing.787.9.Dreamliner","Boeing.767.300ER","Boeing.737.MAX.10","Boeing.747.200","Boeing.787.10ER","Airbus.A340.500","Boeing.767.200","Airbus.A340.600","Boeing.797.6","Boeing.777.200ER","Boeing.777.200LR","Boeing.747.300","Airbus.A350.900","McDonnell.Douglas.MD.12","Boeing.777.200","Airbus.A350.900ULR","Boeing.777.300ER","Airbus.A330.800neo","Boeing.747.400ER","Boeing.747SP","Boeing.777.300","Airbus.A350.1000.Sunrise","Airbus.A350.800","Boeing.777.8","Boeing.2707","Boeing.787.10.Dreamliner","Sukhoi.KR860","Airbus.A330.900neo","Boeing.777.9","Boeing.747.400","Airbus.ZeroE.Turbofan","Boeing.747.8i","Airbus.A350.1000","Airbus.A380.800"
"United against Global",237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0
"The Koalita",141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,0
"Down with Global",183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0
"Sanction Global",178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0
"Wind Runner Airways",119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mango Express",159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0
"Trinity Airlines",87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0
"Mango Skies",101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0
"Chicken Wings",98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Linglong Air",121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0
