Model	April 04, 2023	April 13, 2023	April 27, 2023	May 11, 2023	June 24, 2023	July 08, 2023	August 05, 2023	September 01, 2023	September 02, 2023	September 16, 2023	October 03, 2023	October 14, 2023	October 17, 2023	October 21, 2023	October 28, 2023	November 04, 2023	November 11, 2023	November 18, 2023	November 25, 2023	December 02, 2023	December 09, 2023	December 16, 2023	December 23, 2023	December 30, 2023	January 06, 2024	January 13, 2024	January 20, 2024	January 27, 2024	February 03, 2024	February 10, 2024	February 17, 2024	February 24, 2024	March 02, 2024	March 09, 2024	March 17, 2024	March 23, 2024	March 30, 2024
Airbus A220 100	252	249	287	252	157	160	198	0	126	230	255	207	211	196	200	241	254	267	232	216	262	302	294	288	315	305	309	201	235	228	274	332	378	316	335	332	318
Airbus A220 300	116	91	43	56	71	85	96	0	24	83	99	130	151	201	218	218	231	245	246	189	203	188	157	139	167	150	142	111	118	131	156	210	252	253	291	296	293
Airbus A220 500	242	238	260	257	71	100	103	0	123	225	296	364	376	374	242	245	251	240	218	170	258	281	285	280	181	266	314	335	387	429	544	610	738	752	782	794	838
Airbus A300 600	0	1	1	0	0	2	1	0	0	59	61	55	51	51	51	51	51	51	50	51	54	57	59	59	59	61	6	9	16	29	40	54	55	61	63	63	63
Airbus A300B4	28	31	34	102	165	162	73	0	0	19	24	24	24	24	24	24	62	107	139	161	158	183	215	227	234	236	238	248	248	232	232	232	232	232	232	230	236
Airbus A310 200	35	53	65	74	99	99	100	0	0	11	17	17	17	32	39	53	70	85	93	107	118	134	135	146	151	154	165	173	174	176	177	177	177	177	178	180	182
Airbus A310 300	107	124	134	190	256	252	254	0	18	56	77	82	82	82	82	103	103	102	102	98	77	78	81	81	88	108	127	113	133	35	51	62	68	88	152	162	182
Airbus A318	152	155	154	175	147	161	166	0	72	215	341	380	379	392	445	461	488	528	579	577	603	630	647	637	582	587	575	591	595	595	608	612	607	120	123	127	126
Airbus A319	86	90	93	103	24	36	95	0	96	55	95	90	84	82	26	20	21	24	40	59	72	62	57	52	50	46	45	58	67	101	98	69	78	93	101	108	151
Airbus A319neo	87	99	103	109	136	142	114	0	6	68	53	65	65	65	65	65	60	65	64	64	5	8	15	16	17	51	110	155	154	157	155	160	166	167	181	186	190
Airbus A320	62	71	52	29	49	67	102	0	43	53	23	29	30	45	63	68	49	53	76	139	113	128	140	149	165	186	142	160	163	171	111	113	88	94	93	104	114
Airbus A320neo	122	122	90	137	73	165	218	0	47	210	325	312	320	331	326	314	187	241	250	283	256	229	230	238	288	319	350	352	214	206	142	144	123	132	101	119	154
Airbus A321	202	212	220	220	233	236	249	0	10	170	228	207	203	193	179	194	195	229	230	230	236	239	214	213	207	199	190	210	189	189	193	192	192	170	151	162	167
Airbus A321neo	1071	1164	1358	1271	993	1065	854	0	248	653	1216	1527	1603	1709	1811	1900	2047	2129	2175	2231	2154	2350	2491	2639	2484	2559	2564	2654	2684	2816	2721	2783	2820	2447	2682	2837	2995
Airbus A321neoLR	116	112	37	91	148	177	187	0	82	262	273	317	331	370	370	450	480	509	540	546	583	606	615	568	554	562	580	584	456	439	421	435	379	365	475	477	493
Airbus A321neoXLR	124	74	72	76	47	29	27	0	0	79	115	159	167	170	166	164	168	182	221	249	259	267	269	291	298	283	272	277	141	57	77	110	173	198	185	150	161
Airbus A330 200	5	5	4	11	14	14	12	0	0	0	17	20	23	26	28	37	47	52	52	40	59	65	59	68	65	66	71	71	72	53	53	54	45	42	41	44	44
Airbus A330 300	68	33	26	11	89	89	3	0	4	25	83	120	127	133	159	153	172	179	159	177	178	189	193	193	193	193	36	6	9	44	85	99	81	80	77	77	81
Airbus A330 800neo	190	210	223	268	362	364	251	0	3	94	121	148	155	171	181	154	127	142	150	162	165	173	179	188	178	194	198	205	209	215	216	224	234	238	241	244	244
Airbus A330 900neo	981	1101	1177	1229	1513	1612	1148	0	17	165	298	411	456	515	580	583	612	650	744	792	858	891	898	931	878	923	688	677	697	685	664	669	684	676	689	698	716
Airbus A340 200	20	20	25	34	42	35	0	0	2	8	12	20	21	25	39	44	37	38	38	42	31	30	26	26	25	28	29	32	54	34	34	35	37	37	37	35	35
Airbus A340 300	4	6	6	6	11	11	11	0	0	0	17	17	17	17	18	20	22	31	26	26	37	42	42	56	38	37	36	38	39	38	38	31	8	0	4	5	5
Airbus A340 500	93	96	105	110	144	144	142	0	0	7	17	21	21	21	22	30	35	41	45	43	43	43	43	38	38	34	34	34	28	12	12	14	10	10	10	7	7
Airbus A340 600	2	2	2	3	3	3	0	0	0	0	0	0	0	0	0	0	0	0	9	12	12	12	12	12	12	22	22	22	22	22	0	5	5	5	5	5	5
Airbus A350 1000	1313	1467	1515	1554	1437	1522	1450	0	17	224	390	492	508	548	585	623	656	747	648	612	580	577	627	601	602	638	660	711	738	775	841	857	911	951	988	1048	1104
Airbus A350 1000 Sunrise	29	21	24	24	43	46	55	0	0	2	38	11	11	11	14	18	21	28	28	28	28	34	47	52	45	52	60	62	62	47	23	29	29	32	41	37	40
Airbus A350 800	243	265	284	302	263	273	301	0	16	101	168	240	268	292	326	373	402	440	488	518	600	672	747	772	826	902	957	994	1028	1062	1152	1245	1336	872	934	961	957
Airbus A350 900	87	73	73	64	4	12	35	0	1	29	154	189	194	198	209	137	140	98	101	128	138	148	158	157	159	167	173	174	102	102	98	107	112	107	119	134	129
Airbus A350 900ULR	12	12	11	21	85	113	60	0	2	13	16	24	24	31	44	43	48	48	39	34	35	44	60	67	97	90	100	102	103	77	82	82	83	84	84	84	90
Airbus A380 800	1849	2324	2805	3200	3427	3550	2837	0	0	11	64	96	104	107	157	223	433	548	677	709	774	813	886	969	960	1030	1008	1039	1128	1163	1151	1246	1286	1311	1350	1388	1472
Airbus ZeroE Turbofan	0	0	0	0	0	0	0	0	25	37	51	65	61	62	55	61	60	61	69	30	37	47	61	87	99	98	101	104	112	96	90	94	96	102	98	98	103
Airbus ZeroE Turboprop	0	0	0	0	0	0	0	0	25	43	64	67	69	72	74	74	74	74	75	8	8	8	8	9	9	9	11	12	3	4	4	1	2	1	27	38	46
Antonov An 10	0	0	0	0	0	0	0	0	5	13	4	4	4	4	0	0	10	8	8	9	12	13	13	13	13	10	15	15	15	20	33	36	36	36	36	36	36
Antonov An 140	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	0	0	0	0	1	1	1	1	4	6
Antonov An 158	1	1	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	21	33	45	55	58	76	83	93	96	97
Antonov An 72	31	32	26	26	25	26	24	0	18	18	31	33	33	33	35	35	46	52	52	54	27	26	27	28	10	8	33	30	38	43	48	54	65	70	79	101	119
Antonov An148	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
